Date,Open,High,Low,Close,Adj Close,Volume
1985-02-01,0.552300,0.654060,0.552300,0.552300,0.416899,656000
1985-03-01,0.552300,0.683130,0.494160,0.595920,0.449825,1129600
1985-04-01,0.610440,0.654060,0.552300,0.610440,0.460785,1086400
1985-05-01,0.581370,0.654060,0.552300,0.581370,0.438842,1306400
1985-06-01,0.581370,0.654060,0.552300,0.581370,0.438842,932000
1985-07-01,0.581370,0.726720,0.552300,0.726720,0.548558,1085600
1985-08-01,0.799410,0.930210,0.726720,0.828480,0.625371,2790400
1985-09-01,0.828480,0.872070,0.770340,0.872070,0.658274,3782400
1985-10-01,0.872070,0.872070,0.726720,0.726720,0.548558,4264800
1985-11-01,0.726720,0.799410,0.726720,0.726720,0.548558,2931200
1985-12-01,0.726720,0.843750,0.625000,0.843750,0.636897,2189600
1986-01-01,0.828120,0.953120,0.781250,0.906250,0.684074,10813600
1986-02-01,0.906250,0.906250,0.781250,0.828120,0.625099,3053600
1986-03-01,0.828120,0.937500,0.812500,0.890620,0.672276,10620800
1986-04-01,0.890620,1.250000,0.859380,1.234380,0.931761,16780000
1986-05-01,1.234380,1.250000,1.156250,1.234380,0.931761,6839200
1986-06-01,1.234380,1.343750,1.218750,1.281250,0.967140,8687200
1986-07-01,1.281250,1.375000,1.250000,1.359380,1.026116,5600000
1986-08-01,1.359380,1.718750,1.343750,1.640620,1.238407,15231200
1986-09-01,1.640620,1.843750,1.640620,1.750000,1.320971,21060800
1986-10-01,1.750000,2.093750,1.718750,1.750000,1.320971,15657600
1986-11-01,1.750000,1.953120,1.656250,1.750000,1.320971,9832800
1986-12-01,1.750000,1.937500,1.703120,1.890620,1.427117,10471200
1987-01-01,1.890620,2.531250,1.890620,2.468750,1.863513,16799200
1987-02-01,2.484380,3.031250,2.484380,3.000000,2.264523,16910400
1987-03-01,3.046880,4.234380,3.046880,4.078120,3.078332,17047200
1987-04-01,4.078120,4.218750,3.593750,3.953120,2.983977,30837600
1987-05-01,3.921880,5.390620,3.890620,4.593750,3.467551,18875200
1987-06-01,4.546880,4.765620,3.781250,4.312500,3.255251,14556000
1987-07-01,4.343750,5.562500,4.328120,5.500000,4.151625,9256800
1987-08-01,5.875000,6.312500,5.375000,5.625000,4.245978,12215600
1987-09-01,5.687500,7.593750,5.687500,7.156250,5.401828,12664400
1987-10-01,7.156250,7.156250,3.187500,4.281250,3.231662,19562800
1987-11-01,4.343750,6.187500,3.437500,5.375000,4.057270,14122400
1987-12-01,5.312500,5.875000,4.656250,5.187500,3.927462,9382000
1988-01-01,5.000000,5.406250,4.625000,4.625000,3.501590,12782800
1988-02-01,4.562500,5.156250,4.250000,5.062500,3.832823,10973200
1988-03-01,5.125000,5.750000,5.000000,5.312500,4.022097,11880800
1988-04-01,5.468750,5.468750,5.062500,5.187500,3.927462,6432400
1988-05-01,5.125000,5.187500,4.687500,5.156250,3.903802,5682800
1988-06-01,5.218750,5.656250,5.062500,5.093750,3.865854,10169200
1988-07-01,5.093750,5.156250,4.625000,4.718750,3.581252,5392400
1988-08-01,4.750000,4.750000,4.218750,4.343750,3.296649,5809600
1988-09-01,4.375000,4.375000,3.687500,4.218750,3.201781,7530000
1988-10-01,4.218750,4.593750,4.218750,4.281250,3.249215,4158000
1988-11-01,4.250000,4.562500,4.187500,4.343750,3.296649,4260000
1988-12-01,4.312500,4.406250,3.968750,4.093750,3.111358,5060800
1989-01-01,4.125000,5.062500,4.062500,4.750000,3.610127,9573200
1989-02-01,4.781250,5.562500,4.687500,5.406250,4.108892,11145600
1989-03-01,5.375000,5.781250,4.937500,5.250000,3.990140,7673200
1989-04-01,5.250000,5.562500,5.093750,5.125000,3.895136,3878000
1989-05-01,5.062500,5.218750,4.750000,4.937500,3.752631,4425600
1989-06-01,4.968750,6.093750,4.968750,5.875000,4.481963,7828800
1989-07-01,5.875000,6.750000,5.843750,6.343750,4.839566,8698000
1989-08-01,6.312500,6.718750,5.750000,6.031250,4.601163,7895600
1989-09-01,6.000000,6.343750,5.218750,6.187500,4.720365,10696800
1989-10-01,6.218750,7.000000,5.781250,6.687500,5.101809,10710000
1989-11-01,6.687500,8.343750,6.593750,7.968750,6.079259,22952000
1989-12-01,7.968750,8.593750,7.687500,7.906250,6.045747,12614400
1990-01-01,7.875000,9.125000,7.625000,8.500000,6.499777,16337200
1990-02-01,8.687500,10.250000,8.625000,9.312500,7.121077,11168200
1990-03-01,9.312500,10.437500,8.687500,9.062500,6.929908,16056000
1990-04-01,9.000000,9.562500,7.937500,8.000000,6.117435,8062400
1990-05-01,8.125000,10.000000,8.062500,9.312500,7.121077,14261200
1990-06-01,9.312500,9.875000,8.062500,9.687500,7.427906,11555200
1990-07-01,9.937500,11.062500,9.062500,11.062500,8.482191,14026600
1990-08-01,11.125000,12.375000,10.000000,10.812500,8.290506,26371400
1990-09-01,10.937500,11.750000,10.000000,11.312500,8.673882,9431200
1990-10-01,11.187500,11.187500,8.250000,9.750000,7.475827,13709200
1990-11-01,9.812500,10.125000,8.875000,9.750000,7.475827,5470400
1990-12-01,9.687500,11.000000,9.000000,10.875000,8.361024,7190600
1991-01-01,10.687500,10.812500,9.250000,9.500000,7.303884,11467200
1991-02-01,9.687500,10.562500,9.312500,10.125000,7.784397,9619200
1991-03-01,10.250000,10.687500,9.812500,10.062500,7.736349,10285400
