Date,Open,High,Low,Close,Adj Close,Volume
1986-03-01,5.875000,6.218750,5.875000,6.125000,2.121940,224000
1986-04-01,6.125000,6.468750,5.625000,6.218750,2.154419,2416800
1986-05-01,6.218750,6.375000,5.312500,6.312500,2.186899,1785200
1986-06-01,6.312500,6.750000,6.281250,6.718750,2.327640,1449200
1986-07-01,6.718750,7.093750,5.843750,5.937500,2.056983,1458800
1986-08-01,5.875000,6.312500,5.500000,5.937500,2.056983,1615600
1986-09-01,5.937500,6.031250,5.062500,5.437500,1.883764,1720400
1986-10-01,5.437500,5.531250,4.843750,5.531250,1.916243,1780800
1986-11-01,5.531250,6.125000,5.093750,5.500000,1.905418,2129200
1986-12-01,5.500000,5.593750,5.093750,5.437500,1.883764,3773600
1987-01-01,5.437500,6.031250,5.343750,5.593750,1.937894,1978800
1987-02-01,5.625000,6.031250,5.343750,5.781250,2.002852,2171600
1987-03-01,5.781250,6.656250,5.687500,6.312500,2.186899,2414400
1987-04-01,6.218750,6.218750,5.250000,5.343750,1.851285,2164000
1987-05-01,5.343750,5.625000,5.187500,5.625000,1.948722,2368800
1987-06-01,5.625000,6.312500,5.531250,6.312500,2.186899,2197600
1987-07-01,6.312500,6.750000,6.218750,6.750000,2.338465,2262400
1987-08-01,6.750000,7.875000,6.562500,7.437500,2.576643,3623600
1987-09-01,7.437500,7.718750,6.906250,7.531250,2.609123,1695600
1987-10-01,7.500000,7.593750,4.906250,5.687500,1.970374,2513200
1987-11-01,5.687500,5.781250,5.125000,5.187500,1.797153,1412800
1987-12-01,5.125000,6.937500,4.375000,6.937500,2.424480,3011200
1988-01-01,6.906250,7.093750,6.125000,6.656250,2.326190,2306400
1988-02-01,6.718750,7.468750,6.281250,7.250000,2.533693,3434000
1988-03-01,7.187500,8.218750,7.187500,7.812500,2.747970,4613200
1988-04-01,7.875000,8.156250,6.812500,7.125000,2.506150,3031200
1988-05-01,7.062500,7.125000,6.250000,6.687500,2.352263,2754000
1988-06-01,6.718750,7.062500,6.500000,7.000000,2.479879,6729600
1988-07-01,7.093750,7.218750,6.093750,6.312500,2.236320,2113600
1988-08-01,6.343750,6.687500,6.218750,6.500000,2.302745,1964400
1988-09-01,6.500000,7.156250,6.312500,7.156250,2.554648,2643200
1988-10-01,7.125000,7.125000,6.531250,6.562500,2.342691,1620000
1988-11-01,6.562500,6.625000,6.125000,6.343750,2.264601,1748000
1988-12-01,6.343750,6.812500,6.250000,6.781250,2.440881,2076000
1989-01-01,6.781250,7.468750,6.750000,7.000000,2.519619,3168400
1989-02-01,6.875000,7.000000,6.593750,6.687500,2.407137,3358000
1989-03-01,6.718750,6.906250,6.500000,6.812500,2.471263,2165200
1989-04-01,6.875000,7.250000,6.875000,7.062500,2.561951,2652400
1989-05-01,7.031250,7.937500,7.000000,7.812500,2.834016,3742400
1989-06-01,7.812500,8.843750,7.781250,8.375000,3.058786,2440000
1989-07-01,8.312500,8.781250,8.312500,8.531250,3.115854,2962000
1989-08-01,8.562500,9.218750,8.406250,8.906250,3.252814,2742400
1989-09-01,8.937500,9.625000,8.812500,9.593750,3.524982,2096000
1989-10-01,9.593750,10.000000,8.687500,9.093750,3.341271,3199200
1989-11-01,9.093750,9.281250,8.343750,8.781250,3.226449,2385200
1989-12-01,8.750000,8.812500,7.562500,8.000000,2.958499,2018800
1990-01-01,8.000000,8.687500,6.875000,7.187500,2.658027,6877400
1990-02-01,7.312500,8.250000,7.250000,7.937500,2.935387,3954400
1990-03-01,7.750000,8.562500,7.687500,8.375000,3.120957,2290600
1990-04-01,8.312500,9.500000,8.250000,9.000000,3.353865,3642600
1990-05-01,9.000000,10.687500,8.625000,10.062500,3.749807,3353200
1990-06-01,10.187500,11.187500,9.500000,9.750000,3.656148,6062200
1990-07-01,9.750000,10.125000,9.187500,9.312500,3.492088,6881000
1990-08-01,9.312500,9.312500,7.500000,8.250000,3.093662,4519600
1990-09-01,8.250000,8.625000,8.062500,8.500000,3.210069,2261600
1990-10-01,8.562500,9.062500,7.875000,7.937500,2.997637,5516600
1990-11-01,7.750000,8.125000,6.750000,7.187500,2.734589,12455800
1990-12-01,7.187500,8.250000,7.125000,8.125000,3.091275,15071000
1991-01-01,7.812500,9.125000,7.437500,9.000000,3.424183,14221800
1991-02-01,9.125000,10.562500,9.000000,9.875000,3.757090,11137600
1991-03-01,9.687500,9.937500,8.625000,9.125000,3.493897,10924000
1991-04-01,9.125000,10.062500,8.687500,9.687500,3.709275,14730600
1991-05-01,9.625000,9.687500,8.937500,9.500000,3.637481,7586800
1991-06-01,9.500000,10.062500,9.187500,9.312500,3.591448,6460600
1991-07-01,9.312500,9.875000,8.187500,8.562500,3.302203,9257600
1991-08-01,8.500000,9.125000,8.437500,8.875000,3.422724,8497600
1991-09-01,8.812500,9.125000,7.625000,8.250000,3.205328,6255800
1991-10-01,8.250000,8.812500,6.812500,7.625000,2.962500,11935000
1991-11-01,7.687500,8.000000,6.937500,7.125000,2.768238,11045800
1991-12-01,7.125000,8.000000,6.687500,7.937500,3.110874,11537800
1992-01-01,7.750000,9.000000,7.500000,8.187500,3.208856,9809200
1992-02-01,8.125000,8.687500,7.812500,8.500000,3.331331,10022800
1992-03-01,8.500000,9.375000,7.937500,8.750000,3.457183,9170200
1992-04-01,8.687500,9.687500,8.625000,9.312500,3.679429,7020600
1992-05-01,9.250000,9.437500,8.437500,8.875000,3.506572,5564000
1992-06-01,8.875000,8.875000,7.187500,8.187500,3.257986,9385000
1992-07-01,8.062500,8.187500,7.187500,7.812500,3.108764,8135800
1992-08-01,7.937500,8.375000,7.687500,8.125000,3.233115,7475000
1992-09-01,8.125000,8.562500,7.750000,7.937500,3.184378,4817600
1992-10-01,7.937500,9.000000,7.312500,8.687500,3.485264,5603000
1992-11-01,8.687500,9.437500,8.187500,9.375000,3.761076,7409000
1992-12-01,9.375000,10.312500,9.312500,10.312500,4.166464,7300200
1993-01-01,10.312500,10.937500,9.687500,10.187500,4.115960,7527400
1993-02-01,10.250000,11.187500,9.562500,10.125000,4.090708,10067000
1993-03-01,9.937500,10.500000,9.562500,9.875000,4.015547,7284400
1993-04-01,9.875000,10.062500,8.687500,9.187500,3.735986,7965600
1993-05-01,9.250000,10.312500,9.187500,9.937500,4.040964,4756000
1993-06-01,9.937500,10.500000,9.437500,10.375000,4.248796,3893200
1993-07-01,10.500000,10.875000,9.875000,10.250000,4.197608,4641400
1993-08-01,10.375000,12.375000,10.250000,12.000000,4.914272,11028600
1993-09-01,12.000000,13.062500,11.937500,12.562500,5.174658,8990200
1993-10-01,12.562500,12.875000,12.125000,12.750000,5.251891,6747600
1993-11-01,12.812500,12.812500,11.437500,12.062500,4.968699,4541200
1993-12-01,12.062500,13.687500,12.062500,13.687500,5.671141,5753400
1994-01-01,13.625000,13.687500,11.750000,12.437500,5.153228,7369200
1994-02-01,12.500000,12.937500,10.937500,11.750000,4.868377,6621800
1994-03-01,11.812500,13.625000,11.312500,11.875000,4.949812,8868600
1994-04-01,11.625000,13.937500,11.562500,13.687500,5.705311,7842200
1994-05-01,13.625000,14.437500,13.250000,13.937500,5.809519,6902200
1994-06-01,14.187500,15.187500,13.750000,14.125000,5.920896,10129800
1994-07-01,14.187500,15.000000,13.750000,14.562500,6.104285,4779200
1994-08-01,14.500000,15.125000,14.187500,14.750000,6.182879,5069600
1994-09-01,14.625000,14.937500,13.375000,14.812500,6.242734,5136200
1994-10-01,14.750000,15.250000,14.125000,14.562500,6.137375,5942000
1994-11-01,14.562500,14.562500,12.000000,12.875000,5.426176,4521600
1994-12-01,12.937500,13.687500,12.562500,13.187500,5.588817,6229400
1995-01-01,13.187500,14.500000,12.625000,14.187500,6.012614,8794400
1995-02-01,14.187500,15.937500,14.187500,15.437500,6.542360,7408400
1995-03-01,15.312500,17.000000,14.625000,16.875000,7.187650,9260200
1995-04-01,16.812500,17.500000,15.375000,16.187500,6.894820,10659800
1995-05-01,16.125000,16.375000,15.312500,15.687500,6.681854,8865200
1995-06-01,15.562500,17.375000,15.500000,16.625000,7.116044,8367400
1995-07-01,16.750000,19.375000,16.312500,19.187500,8.212879,9375400
1995-08-01,19.187500,19.937500,18.875000,19.437500,8.319887,8862200
1995-09-01,19.437500,21.062500,19.250000,20.937500,8.998516,5742600
1995-10-01,20.937500,21.312500,18.000000,19.500000,8.380711,9851000
1995-11-01,19.437500,20.937500,19.062500,20.812500,8.944797,6509600
1995-12-01,20.937500,21.750000,19.625000,21.375000,9.225330,5710800
1996-01-01,21.500000,22.500000,17.750000,18.625000,8.038444,9825700
1996-02-01,18.750000,21.625000,18.500000,20.750000,8.955585,8318200
1996-03-01,20.750000,21.125000,19.000000,20.125000,8.721156,4264200
1996-04-01,20.125000,25.250000,19.625000,24.500000,10.617053,11022500
1996-05-01,24.625000,27.000000,23.375000,24.750000,10.725394,9567100
1996-06-01,24.875000,27.750000,24.125000,26.250000,11.410723,8654900
1996-07-01,26.250000,26.250000,24.125000,25.125000,10.921693,6363500
1996-08-01,25.250000,26.375000,24.375000,25.500000,11.084706,6577700
1996-09-01,25.125000,27.375000,25.125000,26.375000,11.502047,4703800
1996-10-01,26.625000,31.750000,26.500000,29.750000,12.973871,8847400
1996-11-01,29.750000,34.500000,29.750000,32.750000,14.282162,6882800
1996-12-01,32.750000,34.250000,29.750000,30.625000,13.389501,6709700
