Date,Open,High,Low,Close,Adj Close,Volume
1995-07-01,11.812500,13.687500,11.687500,13.500000,7.848149,39387800
1995-08-01,13.437500,13.437500,11.312500,11.687500,6.794464,18460000
1995-09-01,11.625000,13.000000,11.562500,12.812500,7.448473,11674400
1995-10-01,12.875000,13.000000,11.375000,11.375000,6.612794,7232000
1995-11-01,11.312500,13.750000,11.312500,13.562500,7.955729,12178400
1995-12-01,13.500000,15.375000,13.375000,14.062500,8.249028,12185600
1996-01-01,14.000000,14.812500,13.687500,14.812500,8.688979,15570800
1996-02-01,14.812500,16.562500,14.750000,16.312500,9.645021,12535800
1996-03-01,16.437500,16.875000,14.312500,15.812500,9.349388,11279800
1996-04-01,15.812500,17.375000,15.375000,16.437500,9.718928,8867400
1996-05-01,16.375000,18.062500,15.937500,16.625000,9.895279,9121800
1996-06-01,16.500000,16.875000,15.000000,15.937500,9.486073,11248000
1996-07-01,15.937500,16.312500,14.187500,14.812500,8.816467,11869600
1996-08-01,15.000000,16.375000,14.375000,14.687500,8.804707,8689200
1996-09-01,14.625000,16.500000,14.500000,15.625000,9.366715,9791000
1996-10-01,15.562500,16.437500,15.125000,15.187500,9.104448,8032600
1996-11-01,15.250000,16.375000,14.625000,15.750000,9.511241,9027400
1996-12-01,15.687500,16.062500,14.000000,14.937500,9.020583,10215000
1997-01-01,15.000000,16.062500,14.125000,14.375000,8.680895,9721600
1997-02-01,14.500000,17.437500,13.750000,17.000000,10.345005,19232600
1997-03-01,16.875000,16.937500,14.625000,15.187500,9.242044,13754600
1997-04-01,15.125000,15.312500,13.250000,14.562500,8.861714,14424400
1997-05-01,14.500000,15.937500,14.437500,14.562500,8.933825,8884600
1997-06-01,14.500000,15.562500,14.000000,15.562500,9.547304,11284200
1997-07-01,15.375000,15.375000,13.625000,14.625000,8.972162,17070200
1997-08-01,14.593750,15.187500,13.968750,14.000000,8.658633,11288800
1997-09-01,14.000000,14.593750,13.593750,14.406250,8.909883,16822200
1997-10-01,14.406250,14.968750,11.125000,11.968750,7.402359,16966400
1997-11-01,12.156250,12.812500,10.437500,10.468750,6.526396,13964000
1997-12-01,10.500000,10.500000,7.468750,7.875000,4.909409,29490600
1998-01-01,7.875000,8.000000,6.531250,7.343750,4.578219,26263800
1998-02-01,7.375000,8.031250,6.687500,7.531250,4.711286,19184200
1998-03-01,7.531250,10.437500,6.812500,9.968750,6.236099,45568200
1998-04-01,9.875000,10.718750,9.343750,9.437500,5.903771,26760400
1998-05-01,9.406250,9.468750,7.718750,8.375000,5.251915,25574400
1998-06-01,8.375000,8.843750,7.406250,7.593750,4.761998,21307800
1998-07-01,7.593750,8.312500,7.375000,7.406250,4.644418,14065200
1998-08-01,7.406250,7.593750,5.750000,5.812500,3.657075,25867400
1998-09-01,5.875000,7.093750,5.625000,5.968750,3.755384,39785400
1998-10-01,6.031250,6.468750,5.437500,6.125000,3.853693,31575000
1998-11-01,6.093750,7.562500,5.875000,6.531250,4.127537,18838800
1998-12-01,6.593750,6.656250,4.906250,5.218750,3.298081,22699800
1999-01-01,5.312500,6.375000,4.718750,4.875000,3.080841,18341600
1999-02-01,5.000000,5.750000,4.562500,4.718750,2.982097,20050000
1999-03-01,4.656250,5.593750,4.562500,5.437500,3.436322,27857600
1999-04-01,5.437500,8.218750,5.031250,7.656250,4.838501,31942000
1999-05-01,7.687500,8.843750,6.937500,7.062500,4.463270,34110800
1999-06-01,7.031250,9.000000,6.906250,8.968750,5.667960,22621600
1999-07-01,8.968750,9.343750,8.437500,8.437500,5.332225,13222600
1999-08-01,8.437500,9.312500,8.000000,8.031250,5.075490,21026000
1999-09-01,8.062500,8.593750,7.000000,7.781250,4.917497,32531400
1999-10-01,8.187500,9.000000,7.968750,8.343750,5.272979,22248800
1999-11-01,8.312500,9.156250,7.781250,7.906250,4.996493,20977000
1999-12-01,7.906250,10.687500,7.781250,10.562500,6.675156,20505000
2000-01-01,10.531250,10.718750,8.156250,8.718750,5.509966,27422800
2000-02-01,8.593750,9.468750,6.812500,6.875000,4.344777,24138600
2000-03-01,6.906250,7.125000,6.031250,6.031250,3.811554,23693600
2000-04-01,6.000000,6.375000,4.781250,4.812500,3.041344,20426600
2000-05-01,4.750000,6.250000,4.531250,4.593750,2.903100,30313000
2000-06-01,4.562500,4.937500,4.406250,4.625000,2.922849,34421600
2000-07-01,4.718750,4.906250,4.093750,4.500000,2.843854,24663400
2000-08-01,4.531250,4.968750,4.250000,4.914060,3.105526,15536400
2000-09-01,4.718750,5.312500,4.312500,4.406250,2.784607,20234800
2000-10-01,4.375000,4.687500,3.843750,3.968750,2.508121,19283000
2000-11-01,3.843750,4.062500,3.375000,4.031250,2.547619,18128800
2000-12-01,4.062500,4.562500,3.843750,4.281250,2.705611,22247400
2001-01-01,4.281250,6.062500,4.156250,5.850000,3.697010,37386400
2001-02-01,5.855000,7.125000,5.850000,7.025000,4.439571,28320600
2001-03-01,7.100000,7.345000,5.985000,6.525000,4.123587,28933800
2001-04-01,6.525000,7.200000,6.120000,7.080000,4.474329,26829600
2001-05-01,7.175000,8.575000,6.925000,7.835000,4.951466,38882400
2001-06-01,7.825000,8.200000,5.525000,5.525000,3.491620,28528200
2001-07-01,5.550000,6.490000,5.115000,5.380000,3.399986,49566600
2001-08-01,5.600000,6.320000,5.340000,6.190000,3.911877,80410200
2001-09-01,6.200000,6.250000,5.200000,5.495000,3.472661,33242600
2001-10-01,5.425000,5.550000,4.700000,5.550000,3.507418,37074600
2001-11-01,5.465000,6.720000,5.275000,6.675000,4.218383,38168200
2001-12-01,6.550000,7.120000,6.025000,6.695000,4.231023,34713200
2002-01-01,6.625000,7.790000,6.530000,7.775000,4.913547,39977800
2002-02-01,7.775000,8.045000,6.875000,7.325000,4.629162,58738800
2002-03-01,7.325000,8.920000,7.285000,8.810000,5.567633,65130000
2002-04-01,8.800000,9.300000,8.300000,8.880000,5.611871,53485600
2002-05-01,8.825000,10.415000,8.685000,9.875000,6.240678,73305800
2002-06-01,9.880000,10.350000,8.880000,8.925000,5.640309,66780800
