Date,Open,High,Low,Close,Adj Close,Volume
1994-04-01,1.593750,1.593750,1.531250,1.531250,1.240225,3200
1994-05-01,1.531250,1.531250,1.468750,1.531250,1.240225,8400
1994-06-01,1.531250,1.531250,1.468750,1.468750,1.189603,800
1994-07-01,1.468750,1.562500,1.437500,1.562500,1.265535,21200
1994-08-01,1.531250,1.562500,1.531250,1.562500,1.265535,11600
1994-09-01,1.562500,1.687500,1.562500,1.656250,1.341467,7200
1994-10-01,1.656250,1.718750,1.625000,1.687500,1.366778,8000
1994-11-01,1.656250,1.656250,1.500000,1.500000,1.214914,14000
1994-12-01,1.500000,1.500000,1.468750,1.468750,1.189603,4400
1995-01-01,1.468750,1.468750,1.468750,1.468750,1.189603,7200
1995-02-01,1.468750,1.468750,1.406250,1.406250,1.138981,7200
1995-03-01,1.406250,1.718750,1.375000,1.718750,1.392089,10000
1995-04-01,1.781250,2.562500,1.781250,2.562500,2.075479,33200
1995-05-01,2.562500,3.062500,2.562500,3.062500,2.480450,74400
1995-06-01,3.062500,3.062500,2.750000,2.750000,2.227341,18800
1995-07-01,2.750000,2.906250,2.687500,2.843750,2.303273,47600
1995-08-01,2.687500,2.687500,2.593750,2.593750,2.100788,1600
1995-09-01,2.500000,2.562500,2.437500,2.437500,1.974235,19200
1995-10-01,2.437500,2.562500,2.312500,2.375000,1.923612,11600
1995-11-01,2.375000,2.750000,2.250000,2.750000,2.227341,15600
1995-12-01,2.750000,2.937500,2.750000,2.906250,2.353896,3200
1996-01-01,2.906250,3.531250,2.906250,3.531250,2.860110,49600
1996-02-01,3.718750,4.468750,3.625000,4.437500,3.594119,66400
1996-03-01,4.625000,5.000000,4.531250,4.968750,4.024403,100800
1996-04-01,4.968750,4.968750,4.781250,4.843750,3.923157,5200
1996-05-01,4.843750,5.125000,4.687500,4.750000,3.847225,13200
1996-06-01,4.750000,4.750000,3.968750,4.156250,3.366323,21600
1996-07-01,4.156250,4.187500,3.937500,4.000000,3.239771,6000
1996-08-01,4.000000,5.062500,4.000000,4.875000,3.948470,86000
1996-09-01,4.875000,5.062500,4.437500,4.500000,3.644743,22200
1996-10-01,4.500000,4.937500,4.437500,4.562500,3.695362,10800
1996-11-01,4.562500,4.687500,4.562500,4.562500,3.695362,4800
1996-12-01,4.625000,4.625000,4.250000,4.250000,3.442255,9600
1997-01-01,4.187500,4.187500,4.000000,4.000000,3.239771,59200
