Date,Open,High,Low,Close,Adj Close,Volume
2004-11-01,44.430000,45.599998,44.070000,45.119999,45.119999,49631500
2004-12-01,45.279999,46.000000,43.200001,43.799999,43.799999,60797000
2005-01-01,42.980000,43.169998,41.700001,42.220001,42.220001,35535200
2005-02-01,42.090000,43.740002,41.020000,43.529999,43.529999,40148400
2005-03-01,43.299999,44.669998,42.349998,42.820000,42.820000,41040400
2005-04-01,42.599998,43.700001,42.160000,43.349998,43.349998,38430000
2005-05-01,43.130001,43.169998,41.330002,41.650002,41.650002,31853600
2005-06-01,41.410000,44.130001,41.400002,43.439999,43.439999,36145800
2005-07-01,43.400002,43.400002,41.700001,42.820000,42.820000,33962100
2005-08-01,43.080002,44.720001,42.810001,43.400002,43.400002,32270600
2005-09-01,43.930000,47.230000,43.849998,46.700001,46.700001,44606600
2005-10-01,46.619999,47.720001,45.830002,46.400002,46.400002,45491800
2005-11-01,46.070000,49.990002,45.320000,49.099998,49.099998,37083000
2005-12-01,49.630001,53.759998,48.799999,51.580002,51.580002,79411300
2006-01-01,52.290001,57.049999,52.099998,56.700001,56.700001,103662000
2006-02-01,56.790001,57.299999,53.330002,56.070000,56.070000,86851300
2006-03-01,56.020000,58.700001,53.150002,58.099998,58.099998,92687600
2006-04-01,58.619999,65.269997,58.000000,65.089996,65.089996,117532800
2006-05-01,65.680000,72.260002,63.220001,64.230003,64.230003,255581000
2006-06-01,62.150002,64.190002,55.049999,61.230000,61.230000,191759700
2006-07-01,61.959999,66.419998,59.830002,63.160000,63.160000,128109400
2006-08-01,62.919998,65.220001,60.299999,62.290001,62.290001,97471300
2006-09-01,61.950001,63.630001,56.660000,59.470001,59.470001,94436200
2006-10-01,59.799999,60.650002,55.549999,60.240002,60.240002,82022400
2006-11-01,61.029999,64.430000,60.680000,64.389999,64.389999,107931500
2006-12-01,64.199997,64.550003,60.650002,63.209999,63.209999,77042200
2007-01-01,63.580002,64.980003,59.660000,64.830002,64.830002,100218000
2007-02-01,65.449997,68.330002,63.799999,66.480003,66.480003,118775800
2007-03-01,66.230003,66.750000,62.619999,65.739998,65.739998,131508200
2007-04-01,65.739998,68.730003,65.029999,67.089996,67.089996,90107400
2007-05-01,66.980003,68.459999,64.519997,65.540001,65.540001,105929700
2007-06-01,65.699997,66.760002,63.389999,64.269997,64.269997,81636900
2007-07-01,64.510002,68.000000,63.880001,65.790001,65.790001,99586400
2007-08-01,65.500000,67.540001,63.470001,66.519997,66.519997,127871900
2007-09-01,66.739998,73.800003,66.589996,73.510002,73.510002,173402500
2007-10-01,73.489998,78.949997,71.239998,78.620003,78.620003,164505900
2007-11-01,78.400002,83.629997,76.110001,77.320000,77.320000,198303300
2007-12-01,77.389999,83.019997,77.300003,82.459999,82.459999,129955200
2008-01-01,83.559998,92.580002,83.440002,91.400002,91.400002,255366500
2008-02-01,91.750000,96.239998,87.300003,96.180000,96.180000,197968200
2008-03-01,97.519997,100.440002,89.779999,90.410004,90.410004,326399700
2008-04-01,87.860001,93.709999,85.110001,86.650002,86.650002,249307400
2008-05-01,84.510002,92.110001,83.570000,87.449997,87.449997,189092100
2008-06-01,87.470001,91.900002,84.830002,91.400002,91.400002,215821900
2008-07-01,92.529999,97.500000,88.080002,90.080002,90.080002,340996500
2008-08-01,89.500000,90.449997,76.610001,81.709999,81.709999,295035600
2008-09-01,78.160004,92.000000,72.510002,85.070000,85.070000,510577600
2008-10-01,86.230003,90.839996,66.000000,71.339996,71.339996,433752300
2008-11-01,71.550003,81.720001,68.809998,80.309998,80.309998,223472600
2008-12-01,77.150002,87.099998,72.910004,86.519997,86.519997,241672800
2009-01-01,85.930000,91.489998,78.870003,91.309998,91.309998,308724900
2009-02-01,89.879997,98.989998,86.000000,92.629997,92.629997,503436200
2009-03-01,93.400002,94.769997,86.830002,90.279999,90.279999,459903600
2009-04-01,91.339996,91.379997,84.919998,87.269997,87.269997,268886000
2009-05-01,86.750000,96.349998,86.690002,96.199997,96.199997,270773800
2009-06-01,96.470001,96.970001,89.949997,91.180000,91.180000,299689100
2009-07-01,92.309998,94.029999,88.820000,93.349998,93.349998,204130700
2009-08-01,94.139999,95.250000,91.279999,93.400002,93.400002,154745600
2009-09-01,93.410004,100.080002,93.059998,98.849998,98.849998,327528800
2009-10-01,98.839996,104.699997,97.739998,102.529999,102.529999,357924600
2009-11-01,103.500000,116.879997,103.250000,115.639999,115.639999,403445300
2009-12-01,117.300003,119.540001,105.309998,107.309998,107.309998,569725200
2010-01-01,109.820000,113.589996,105.180000,105.959999,105.959999,347218200
2010-02-01,106.639999,110.389999,102.279999,109.430000,109.430000,368010500
2010-03-01,109.480003,112.180000,106.239998,108.949997,108.949997,326092400
2010-04-01,109.970001,115.699997,109.919998,115.360001,115.360001,274413100
2010-05-01,115.910004,122.239998,113.309998,118.879997,118.879997,504968200
2010-06-01,119.879997,123.559998,117.050003,121.680000,121.680000,326007600
2010-07-01,120.910004,121.029999,113.080002,115.489998,115.489998,275523100
2010-08-01,116.120003,122.949997,115.199997,122.080002,122.080002,214805800
2010-09-01,122.150002,128.279999,121.150002,127.910004,127.910004,269515300
2010-10-01,127.910004,134.850006,127.910004,132.619995,132.619995,365035100
2010-11-01,132.850006,139.149994,129.479996,135.419998,135.419998,407549300
2010-12-01,135.710007,139.539993,132.860001,138.720001,138.720001,305529800
2011-01-01,138.669998,139.000000,127.800003,129.869995,129.869995,353019800
2011-02-01,130.520004,138.199997,129.279999,137.660004,137.660004,238786500
2011-03-01,138.570007,141.279999,135.229996,139.860001,139.860001,306448400
2011-04-01,138.649994,153.029999,137.720001,152.369995,152.369995,303490300
2011-05-01,151.460007,153.610001,142.550003,149.639999,149.639999,382778500
2011-06-01,149.660004,151.860001,145.199997,146.000000,146.000000,291338100
2011-07-01,144.759995,159.250000,143.970001,158.289993,158.289993,328150200
2011-08-01,157.470001,184.820007,156.779999,177.720001,177.720001,768547400
2011-09-01,177.440002,185.850006,154.190002,158.059998,158.059998,496007600
2011-10-01,161.089996,170.289993,155.270004,167.339996,167.339996,271385800
2011-11-01,164.029999,175.460007,162.070007,170.130005,170.130005,285132800
2011-12-01,169.850006,170.800003,148.270004,151.990005,151.990005,292635000
2012-01-01,154.759995,169.860001,154.550003,169.309998,169.309998,223453900
2012-02-01,169.750000,174.000000,164.000000,164.289993,164.289993,259837600
2012-03-01,166.100006,167.720001,158.130005,162.119995,162.119995,272582900
2012-04-01,161.960007,163.559998,156.580002,161.880005,161.880005,198905400
2012-05-01,162.089996,162.179993,148.529999,151.619995,151.619995,256298600
2012-06-01,155.410004,159.199997,150.149994,155.190002,155.190002,237977300
2012-07-01,154.669998,157.960007,150.850006,156.490005,156.490005,155221000
2012-08-01,155.179993,164.220001,153.610001,164.220001,164.220001,190757200
2012-09-01,164.110001,173.179993,163.660004,171.889999,171.889999,229736700
2012-10-01,172.830002,174.070007,164.600006,166.830002,166.830002,165237600
2012-11-01,167.020004,170.009995,162.300003,166.050003,166.050003,173575600
2012-12-01,166.110001,166.940002,158.389999,162.020004,162.020004,200021700
2013-01-01,163.490005,164.399994,158.889999,161.199997,161.199997,222470200
2013-02-01,162.660004,162.960007,150.839996,153.000000,153.000000,241668700
2013-03-01,153.160004,156.429993,151.399994,154.449997,154.449997,160615100
2013-04-01,154.570007,154.929993,130.509995,142.770004,142.770004,454473800
2013-05-01,140.589996,142.809998,130.850006,133.919998,133.919998,278779500
2013-06-01,134.770004,137.619995,114.680000,119.110001,119.110001,254151000
2013-07-01,119.940002,130.139999,116.739998,127.959999,127.959999,191322900
2013-08-01,127.839996,137.550003,123.550003,134.619995,134.619995,194596100
2013-09-01,135.460007,136.789993,125.150002,128.179993,128.179993,203875800
2013-10-01,125.250000,131.440002,121.849998,127.739998,127.739998,203478400
2013-11-01,126.860001,127.519997,119.129997,120.699997,120.699997,130629300
2013-12-01,119.199997,122.320000,114.459999,116.120003,116.120003,185368200
2014-01-01,117.930000,122.510002,117.110001,120.089996,120.089996,152949800
2014-02-01,120.470001,129.529999,120.320000,127.620003,127.620003,156504800
