Date,Open,High,Low,Close,Adj Close,Volume
1994-05-01,null,null,null,null,null,null
1994-06-01,null,null,null,null,null,null
1994-07-01,null,null,null,null,null,null
1994-08-01,null,null,null,null,null,null
1994-09-01,null,null,null,null,null,null
1994-10-01,null,null,null,null,null,null
1994-11-01,null,null,null,null,null,null
1994-12-01,null,null,null,null,null,null
1995-01-01,null,null,null,null,null,null
1995-02-01,null,null,null,null,null,null
1995-03-01,null,null,null,null,null,null
1995-04-01,null,null,null,null,null,null
1995-05-01,null,null,null,null,null,null
1995-06-01,null,null,null,null,null,null
1995-07-01,null,null,null,null,null,null
1995-08-01,null,null,null,null,null,null
1995-09-01,null,null,null,null,null,null
1995-10-01,null,null,null,null,null,null
1995-11-01,null,null,null,null,null,null
1995-12-01,null,null,null,null,null,null
1996-01-01,null,null,null,null,null,null
1996-02-01,null,null,null,null,null,null
1996-03-01,null,null,null,null,null,null
1996-04-01,null,null,null,null,null,null
1996-05-01,null,null,null,null,null,null
1996-06-01,null,null,null,null,null,null
1996-07-01,null,null,null,null,null,null
1996-08-01,null,null,null,null,null,null
1996-09-01,8.250000,8.250000,8.250000,8.250000,6.738728,16300
1996-10-01,8.000000,8.375000,7.500000,7.500000,6.126117,447300
1996-11-01,7.500000,8.375000,7.500000,7.875000,6.432422,253100
1996-12-01,7.875000,7.875000,7.250000,7.875000,6.432422,571800
1997-01-01,7.875000,8.750000,7.500000,8.250000,6.738728,222400
1997-02-01,8.437500,9.000000,8.375000,8.421880,6.879122,210600
1997-03-01,8.625000,8.828120,8.125000,8.125000,6.636626,212500
1997-04-01,8.046880,8.046880,6.750000,7.000000,5.717709,210400
1997-05-01,7.000000,7.250000,6.625000,6.921880,5.653898,69200
1997-06-01,6.750000,6.875000,4.500000,4.625000,3.777771,376200
1997-07-01,4.625000,5.125000,4.000000,4.500000,3.675669,145200
1997-08-01,4.500000,5.125000,4.296880,4.890620,3.994735,656000
1997-09-01,4.875000,4.875000,3.171880,4.250000,3.471466,241200
1997-10-01,4.750000,4.796880,3.375000,3.546880,2.897147,226600
1997-11-01,3.546880,3.546880,2.421880,2.421880,1.978229,575300
1997-12-01,2.500000,2.500000,2.000000,2.250000,1.837835,944900
1998-01-01,2.250000,3.328120,1.796880,3.046880,2.488739,450400
1998-02-01,3.375000,3.515620,2.875000,3.421880,2.795044,275600
1998-03-01,3.296880,3.578120,2.796880,3.406250,2.782278,555800
1998-04-01,3.500000,6.000000,3.500000,5.593750,4.569062,1066000
1998-05-01,5.750000,5.750000,4.312500,4.312500,3.522517,517100
1998-06-01,4.250000,4.750000,3.750000,4.062500,3.318313,260600
1998-07-01,4.250000,4.875000,4.187500,4.187500,3.420415,228500
1998-08-01,4.062500,4.250000,3.000000,3.125000,2.552549,397300
1998-09-01,3.625000,4.875000,3.500000,4.875000,3.981977,2346700
1998-10-01,5.000000,5.750000,4.687500,5.187500,4.237231,1033800
1998-11-01,4.875000,5.375000,4.437500,4.875000,3.981977,554300
1998-12-01,4.734380,4.937500,4.250000,4.750000,3.879874,1004400
1999-01-01,4.562500,5.000000,4.250000,4.562500,3.726721,324900
1999-02-01,4.500000,4.875000,4.125000,4.375000,3.573568,791200
1999-03-01,4.500000,5.250000,4.375000,4.687500,3.828823,1380700
1999-04-01,4.875000,5.812500,4.500000,5.562500,4.543538,826000
1999-05-01,5.750000,6.250000,4.500000,5.000000,4.084078,4984600
1999-06-01,4.937500,5.125000,4.468750,4.843750,3.956450,3128600
1999-07-01,4.843750,4.875000,3.687500,4.062500,3.318313,2894200
1999-08-01,4.062500,4.875000,3.875000,4.312500,3.522517,1873500
1999-09-01,4.250000,6.562500,3.750000,6.000000,4.950010,3980300
1999-10-01,6.250000,7.453120,5.687500,6.687500,5.517198,4836000
1999-11-01,6.500000,7.343750,6.000000,6.593750,5.439854,2662800
1999-12-01,6.531250,6.625000,5.750000,6.281250,5.182042,2477700
2000-01-01,6.281250,6.375000,5.000000,5.375000,4.434384,1888100
2000-02-01,5.437500,7.375000,5.437500,6.375000,5.259387,4282600
2000-03-01,6.437500,7.500000,5.500000,6.125000,5.085042,5240300
2000-04-01,6.000000,6.312500,4.437500,5.000000,4.151054,3784500
2000-05-01,4.968750,6.750000,4.562500,4.906250,4.073222,4384600
2000-06-01,4.906250,5.750000,4.875000,5.562500,4.618049,4695700
2000-07-01,5.562500,5.625000,4.750000,5.000000,4.151054,3476600
2000-08-01,5.062500,5.687500,4.500000,5.250000,4.358607,4133300
2000-09-01,5.250000,5.500000,4.875000,5.125000,4.339316,3645900
2000-10-01,5.140620,5.156250,3.625000,3.812500,3.228028,4367200
2000-11-01,4.046880,4.187500,3.500000,3.812500,3.228028,4014800
2000-12-01,3.890620,4.968750,3.468750,4.687500,3.968887,4615700
2001-01-01,4.750000,5.125000,4.375000,4.687500,3.968887,3797100
2001-02-01,4.750000,5.656250,3.875000,5.187500,4.392236,5149400
2001-03-01,5.000000,5.562500,4.312500,4.812500,4.137967,6569700
2001-04-01,4.765620,5.312500,4.500000,4.880000,4.196006,5707600
2001-05-01,4.900000,6.500000,4.640000,4.850000,4.170211,13351300
2001-06-01,4.910000,6.040000,4.900000,5.690000,4.892474,10973400
2001-07-01,5.750000,5.760000,4.710000,5.080000,4.367973,9297400
2001-08-01,4.920000,5.520000,4.630000,4.700000,4.041235,7884900
2001-09-01,4.710000,5.470000,4.510000,5.310000,4.638891,8709800
2001-10-01,5.450000,6.180000,5.130000,5.860000,5.119380,13715000
2001-11-01,5.830000,5.860000,4.940000,5.510000,4.813614,10633000
2001-12-01,5.500000,7.090000,5.500000,6.510000,5.687228,14826700
2002-01-01,6.570000,8.040000,6.310000,7.990000,6.980177,14892600
2002-02-01,8.000000,10.970000,7.860000,10.560000,9.225365,25271600
2002-03-01,10.230000,11.850000,8.310000,11.300000,9.941420,26953200
2002-04-01,11.230000,15.070000,10.180000,13.050000,11.481021,32036900
2002-05-01,12.990000,19.000000,12.990000,16.190001,14.243503,58051400
2002-06-01,15.940000,18.100000,12.150000,13.530000,11.903310,74278600
2002-07-01,13.610000,17.270000,9.980000,11.100000,9.765466,64635100
2002-08-01,10.560000,14.610000,10.540000,14.250000,12.536746,36876400
2002-09-01,14.830000,17.860001,14.200000,15.650000,14.182957,52370700
2002-10-01,15.410000,15.630000,11.620000,13.080000,11.853871,43054900
2002-11-01,13.750000,16.129999,12.000000,12.840000,11.636367,32362700
2002-12-01,12.600000,18.450001,12.430000,16.809999,15.234216,39825200
2003-01-01,16.740000,18.469999,15.210000,15.570000,14.110458,43437300
2003-02-01,15.470000,16.400000,13.600000,14.210000,12.877942,33494500
2003-03-01,13.700000,13.940000,11.080000,12.230000,11.196929,30671500
2003-04-01,12.240000,12.690000,10.140000,10.500000,9.613061,29854500
2003-05-01,10.400000,13.670000,10.400000,13.100000,11.993438,33671300
2003-06-01,12.850000,14.900000,12.770000,13.470000,12.332185,24882300
2003-07-01,13.700000,14.150000,10.900000,12.510000,11.453275,37279400
2003-08-01,12.290000,14.690000,11.940000,14.300000,13.092072,31532400
2003-09-01,14.600000,15.950000,13.890000,14.490000,13.266025,36267400
2003-10-01,14.470000,15.790000,13.100000,15.120000,14.039042,31163300
2003-11-01,14.960000,15.840000,13.270000,15.830000,14.698281,30982700
2003-12-01,16.010000,16.750000,14.430000,16.230000,15.069687,35592100
2004-01-01,16.240000,17.799999,14.710000,15.270000,14.178320,31313600
2004-02-01,15.020000,17.200001,14.500000,15.050000,13.974047,24601700
2004-03-01,15.500000,16.049999,13.900000,15.430000,14.326880,24289100
2004-04-01,15.500000,15.620000,10.890000,11.040000,10.289143,34301600
2004-05-01,11.140000,12.090000,10.030000,11.980000,11.165209,25536700
2004-06-01,12.050000,12.130000,9.250000,10.590000,9.869747,30662000
2004-07-01,10.620000,11.310000,9.750000,10.960000,10.214582,26528300
2004-08-01,10.990000,13.050000,10.410000,12.480000,11.631204,23024800
2004-09-01,12.480000,13.740000,11.240000,13.620000,12.693669,22572300
2004-10-01,13.670000,14.290000,11.250000,11.800000,11.038137,58482800
2004-11-01,11.750000,12.030000,10.300000,10.480000,9.803365,66876300
2004-12-01,10.610000,10.730000,9.050000,9.270000,8.671487,46134200
2005-01-01,9.100000,9.580000,8.060000,8.130000,7.605090,34525900
2005-02-01,8.100000,8.790000,7.510000,8.540000,7.988619,37417000
2005-03-01,8.450000,9.240000,7.600000,7.800000,7.296396,40228600
2005-04-01,7.850000,7.900000,5.960000,6.270000,5.865181,36648100
2005-05-01,6.100000,7.760000,6.090000,7.650000,7.156081,34558000
2005-06-01,7.660000,8.800000,7.130000,8.560000,8.007328,33621600
2005-07-01,8.560000,9.010000,8.000000,8.200000,7.670570,20235700
2005-08-01,8.340000,8.990000,7.210000,7.570000,7.081246,27477400
2005-09-01,7.630000,11.230000,7.570000,10.940000,10.233663,48200200
2005-10-01,10.740000,11.540000,9.710000,10.450000,9.775300,27580300
2005-11-01,10.300000,13.250000,10.200000,12.070000,11.290706,32082200
2005-12-01,12.320000,13.640000,11.750000,13.050000,12.207433,28532500
2006-01-01,13.560000,18.790001,13.560000,18.629999,17.427162,39779600
2006-02-01,18.700001,18.840000,13.760000,13.990000,13.086742,45551100
2006-03-01,14.010000,16.559999,12.250000,15.880000,14.854715,52013200
2006-04-01,16.150000,17.760000,14.750000,16.799999,15.715315,37210100
2006-05-01,17.000000,17.250000,12.870000,14.340000,13.414145,53486600
2006-06-01,13.580000,16.379999,11.900000,16.290001,15.238243,39952300
2006-07-01,16.570000,17.100000,13.380000,14.300000,13.376727,32061900
2006-08-01,14.000000,14.720000,13.130000,13.750000,12.862237,33163300
2006-09-01,13.750000,14.560000,11.910000,12.930000,12.095180,42436400
2006-10-01,13.350000,15.540000,12.810000,15.540000,14.536667,38693400
2006-11-01,15.950000,17.260000,14.510000,16.959999,15.864983,36388300
2006-12-01,16.980000,17.030001,15.070000,15.750000,14.733107,33409200
2007-01-01,15.900000,15.970000,12.850000,13.390000,12.525480,49226400
2007-02-01,13.650000,14.470000,12.830000,13.840000,12.946425,45279000
2007-03-01,13.430000,14.710000,12.800000,13.900000,13.002553,44641800
2007-04-01,14.070000,16.700001,13.990000,15.880000,14.854715,34628500
2007-05-01,15.700000,16.690001,14.430000,14.930000,13.966051,30590100
2007-06-01,14.990000,15.200000,13.150000,14.270000,13.348665,35965400
2007-07-01,14.500000,15.270000,13.280000,13.840000,12.946425,32662000
2007-08-01,13.550000,14.100000,8.410000,8.950000,8.372147,73452300
2007-09-01,9.070000,12.360000,8.970000,11.910000,11.141037,53914000
2007-10-01,11.760000,11.900000,9.410000,11.200000,10.476877,70943000
2007-11-01,11.010000,11.790000,9.610000,10.440000,9.765946,42818400
2007-12-01,10.560000,11.240000,9.350000,10.310000,9.644340,31020300
2008-01-01,10.420000,13.110000,9.760000,10.110000,9.457253,78804000
2008-02-01,9.810000,13.060000,9.340000,12.140000,11.356187,59425800
2008-03-01,13.020000,14.560000,11.660000,11.840000,11.075556,74331500
2008-04-01,11.430000,12.500000,11.000000,11.690000,10.935240,52980600
2008-05-01,11.250000,13.200000,11.160000,11.900000,11.131680,34780400
2008-06-01,11.730000,12.400000,10.450000,12.250000,11.459084,34173700
2008-07-01,12.030000,12.700000,10.260000,10.810000,10.112058,38717400
2008-08-01,10.420000,10.670000,7.220000,8.710000,8.147643,52295900
2008-09-01,8.000000,10.770000,6.380000,9.680000,9.055016,69252800
2008-10-01,9.720000,10.810000,5.710000,7.310000,6.838033,80867900
2008-11-01,7.420000,8.770000,5.470000,8.640000,8.082162,50688800
2008-12-01,8.140000,11.130000,7.220000,10.970000,10.261727,59769200
2009-01-01,10.970000,12.250000,8.760000,11.800000,11.038137,62572900
2009-02-01,11.380000,13.250000,10.940000,11.980000,11.206515,88052400
2009-03-01,12.010000,12.320000,10.410000,10.940000,10.233663,85943500
2009-04-01,11.070000,11.600000,8.060000,9.320000,8.718259,81928300
2009-05-01,9.470000,12.390000,9.160000,12.100000,11.318769,64421600
2009-06-01,12.090000,12.100000,9.830000,10.320000,9.653694,61080500
2009-07-01,10.430000,10.500000,8.340000,9.260000,8.662133,55308500
2009-08-01,9.540000,9.740000,8.810000,9.400000,8.793094,46049500
2009-09-01,9.200000,11.860000,8.930000,10.940000,10.233663,96362100
2009-10-01,10.750000,12.050000,9.650000,9.960000,9.369632,95137600
2009-11-01,9.930000,11.300000,9.530000,11.100000,10.442060,78216700
2009-12-01,11.620000,11.880000,9.720000,10.170000,9.567183,89291000
2010-01-01,10.430000,11.200000,9.170000,9.170000,8.626457,55397000
2010-02-01,9.400000,10.310000,8.730000,9.130000,8.588829,64763500
2010-03-01,9.230000,10.050000,9.160000,9.480000,8.918081,53759300
2010-04-01,9.520000,10.360000,9.160000,9.770000,9.190892,60696500
2010-05-01,9.820000,10.620000,8.800000,9.680000,9.106227,90552100
2010-06-01,9.900000,10.740000,9.430000,10.570000,9.943474,64515700
2010-07-01,10.410000,10.740000,9.650000,10.000000,9.407260,49292600
2010-08-01,10.080000,11.180000,9.840000,10.180000,9.576591,55209300
2010-09-01,10.290000,11.940000,10.020000,11.290000,10.620795,54988700
2010-10-01,11.210000,11.910000,10.650000,11.530000,10.912388,47066500
2010-11-01,11.340000,12.820000,11.170000,11.330000,10.723101,46378100
2010-12-01,11.350000,12.960000,11.210000,12.540000,11.868287,32135000
2011-01-01,12.590000,12.680000,10.260000,10.910000,10.325600,44479900
2011-02-01,10.960000,11.960000,10.500000,11.780000,11.148996,37931500
2011-03-01,11.690000,15.360000,11.610000,14.870000,14.073479,105149900
2011-04-01,14.820000,15.690000,14.420000,15.570000,14.735982,63651700
2011-05-01,15.680000,15.730000,12.940000,13.910000,13.164902,54944100
2011-06-01,13.980000,14.290000,12.050000,13.220000,12.511862,56020100
2011-07-01,13.010000,14.590000,12.650000,13.580000,12.852578,36336000
2011-08-01,13.570000,15.100000,11.900000,13.370000,12.653827,82436800
2011-09-01,13.480000,14.120000,11.430000,11.730000,11.101674,67802100
2011-10-01,11.980000,13.650000,11.080000,13.130000,12.505368,49522700
2011-11-01,12.620000,14.640000,12.350000,14.150000,13.476843,43766900
2011-12-01,14.170000,14.500000,11.230000,11.640000,11.086251,43700200
2012-01-01,12.020000,12.350000,11.080000,12.060000,11.486272,43299100
2012-02-01,12.210000,13.400000,12.070000,12.720000,12.114873,36592500
2012-03-01,12.740000,12.920000,10.580000,10.930000,10.410029,51261300
2012-04-01,10.890000,11.140000,9.230000,9.700000,9.280511,35423600
2012-05-01,9.710000,10.000000,8.640000,9.860000,9.433592,39870700
2012-06-01,10.020000,10.730000,8.900000,9.400000,8.993484,55135900
2012-07-01,9.240000,10.230000,8.750000,9.820000,9.395321,27086900
2012-08-01,9.800000,10.540000,8.080000,8.540000,8.170677,45910800
2012-09-01,8.320000,9.660000,8.110000,8.410000,8.046298,65532700
2012-10-01,8.490000,8.500000,7.760000,8.300000,7.997323,50521800
2012-11-01,8.260000,8.800000,7.470000,7.810000,7.525192,47043600
2012-12-01,7.790000,9.010000,7.460000,8.960000,8.633256,50744700
2013-01-01,8.940000,9.010000,6.440000,6.460000,6.224422,51058400
2013-02-01,6.560000,7.310000,6.130000,6.180000,5.954634,47527800
2013-03-01,6.210000,6.730000,5.820000,6.410000,6.176246,46706000
2013-04-01,6.420000,6.430000,4.570000,5.130000,4.989729,77555400
2013-05-01,4.950000,5.050000,3.610000,4.180000,4.065704,69918400
2013-06-01,4.210000,4.420000,3.290000,3.810000,3.705822,67131800
2013-07-01,3.710000,4.090000,3.390000,3.850000,3.744728,54734200
2013-08-01,3.930000,4.350000,3.300000,3.620000,3.521017,87880300
2013-09-01,3.740000,4.270000,3.380000,3.380000,3.287580,102036500
2013-10-01,3.330000,3.690000,3.060000,3.400000,3.307033,68047600
2013-11-01,3.350000,3.370000,2.730000,2.850000,2.772071,44274900
2013-12-01,2.790000,2.820000,2.350000,2.530000,2.460821,61890800
2014-01-01,2.590000,3.010000,2.510000,2.880000,2.801251,55521200
2014-02-01,2.840000,3.430000,2.620000,3.240000,3.151407,59897200
2014-03-01,3.330000,3.800000,3.030000,3.050000,2.966603,73793700
2014-04-01,3.040000,3.400000,3.000000,3.290000,3.200040,41185400
2014-05-01,3.250000,3.440000,2.600000,2.650000,2.577540,37194100
2014-06-01,2.610000,3.050000,2.600000,2.970000,2.888790,48422100
2014-07-01,2.990000,3.290000,2.950000,3.030000,2.947150,39080400
2014-08-01,3.050000,3.230000,2.920000,3.040000,2.956876,32465100
2014-09-01,2.980000,2.980000,2.160000,2.160000,2.100939,42958600
2014-10-01,2.190000,2.230000,1.620000,1.620000,1.575704,59498900
2014-11-01,1.610000,1.880000,1.530000,1.710000,1.663243,76436200
2014-12-01,1.700000,2.030000,1.670000,1.890000,1.838321,151577200
2015-01-01,1.900000,3.180000,1.850000,3.100000,3.015236,88912000
2015-02-01,3.070000,3.180000,2.320000,2.460000,2.392735,56533700
