Date,Open,High,Low,Close,Adj Close,Volume
2003-07-01,4.850000,5.420000,4.640000,4.960000,4.386457,3287900
2003-08-01,4.970000,5.990000,4.940000,5.840000,5.164700,7874100
2003-09-01,5.840000,6.650000,5.550000,6.210000,5.491916,9658000
2003-10-01,6.200000,7.740000,5.950000,7.500000,6.632749,7923800
2003-11-01,7.550000,8.350000,7.010000,8.350000,7.384461,7153300
2003-12-01,8.450000,8.450000,6.490000,6.940000,6.137504,9070000
2004-01-01,6.970000,7.760000,6.180000,6.530000,5.824131,8070900
2004-02-01,6.540000,7.600000,6.400000,6.750000,6.020350,6971200
2004-03-01,6.850000,7.230000,6.220000,6.520000,5.815213,10790800
2004-04-01,6.610000,6.610000,4.750000,4.800000,4.281137,25300000
2004-05-01,4.750000,5.800000,4.100000,5.640000,5.030336,18164100
2004-06-01,5.680000,5.880000,5.070000,5.580000,4.976824,10618500
2004-07-01,5.520000,6.650000,5.320000,5.860000,5.226556,9711700
2004-08-01,6.080000,7.760000,5.200000,7.530000,6.716035,9929800
2004-09-01,7.530000,8.150000,6.900000,8.030000,7.161986,4006400
2004-10-01,8.090000,8.600000,6.770000,7.560000,6.742792,8876900
2004-11-01,7.560000,7.950000,6.930000,7.670000,6.840901,5765200
2004-12-01,7.680000,8.000000,6.360000,6.650000,5.931160,5625500
2005-01-01,6.560000,6.780000,5.980000,6.620000,5.954299,2551900
2005-02-01,6.610000,7.690000,6.450000,7.190000,6.466981,3028800
2005-03-01,7.200000,7.280000,5.920000,6.140000,5.522567,2993200
2005-04-01,6.100000,6.340000,5.350000,6.090000,5.477596,3415100
2005-05-01,6.040000,6.620000,5.770000,6.450000,5.801393,4116600
2005-06-01,6.450000,7.070000,6.380000,6.820000,6.134187,3606300
2005-07-01,6.750000,7.120000,6.360000,6.450000,5.801393,2146100
2005-08-01,6.540000,7.570000,6.440000,7.030000,6.323070,3267100
2005-09-01,7.080000,7.880000,6.990000,7.360000,6.619886,4643900
2005-10-01,7.360000,7.470000,6.450000,6.940000,6.242121,3214800
2005-11-01,6.920000,7.800000,6.590000,7.470000,6.718823,3375200
2005-12-01,7.700000,7.940000,7.100000,7.820000,7.033628,7443800
2006-01-01,7.940000,9.770000,7.940000,9.400000,8.519697,8008400
2006-02-01,9.500000,9.760000,8.440000,8.880000,8.048397,6900800
2006-03-01,8.980000,9.380000,7.800000,8.630000,7.821807,8562100
2006-04-01,8.770000,9.910000,8.400000,9.570000,8.673778,10411500
2006-05-01,9.750000,10.600000,8.650000,9.430000,8.546888,12469100
2006-06-01,9.250000,10.130000,7.750000,8.900000,8.066522,10252600
2006-07-01,9.080000,9.410000,8.170000,9.340000,8.465318,5054600
2006-08-01,9.250000,11.300000,9.200000,10.980000,9.951731,9567600
2006-09-01,10.950000,11.830000,8.270000,8.490000,7.694918,17425400
2006-10-01,8.500000,8.860000,8.150000,8.460000,7.667729,9999600
2006-11-01,8.590000,9.800000,8.350000,9.580000,8.682841,18459800
2006-12-01,9.580000,9.620000,8.410000,8.810000,7.984951,14916000
2007-01-01,8.900000,8.990000,8.150000,8.820000,8.051325,20780700
2007-02-01,8.950000,9.390000,8.030000,8.410000,7.677058,23270300
2007-03-01,8.300000,8.370000,7.350000,7.700000,7.028935,27062700
2007-04-01,7.790000,8.380000,7.540000,8.120000,7.412331,22318500
2007-05-01,8.100000,8.150000,6.630000,7.290000,6.654666,23869300
2007-06-01,7.370000,8.120000,7.050000,7.660000,6.992421,23504100
2007-07-01,7.740000,8.950000,7.580000,8.290000,7.567517,23127700
2007-08-01,8.310000,9.240000,6.420000,6.610000,6.033930,29370000
2007-09-01,6.690000,9.060000,6.690000,8.670000,7.914399,24739800
2007-10-01,8.700000,9.070000,7.830000,8.770000,8.005684,24164200
2007-11-01,8.660000,10.430000,8.290000,8.570000,7.823113,31063300
2007-12-01,8.630000,8.880000,7.700000,8.100000,7.394075,15921400
2008-01-01,8.200000,10.070000,7.800000,7.950000,7.312126,39572500
2008-02-01,8.120000,8.480000,7.090000,8.090000,7.440891,30835300
2008-03-01,8.190000,8.660000,7.150000,7.330000,6.741871,37360100
2008-04-01,7.220000,7.640000,5.710000,5.980000,5.500190,36466500
2008-05-01,5.910000,6.680000,5.790000,5.910000,5.435806,33663800
2008-06-01,5.980000,6.450000,5.590000,6.050000,5.564574,35370800
2008-07-01,6.030000,6.840000,5.700000,6.620000,6.088838,38652400
2008-08-01,6.530000,6.900000,5.160000,6.520000,5.996863,32169800
2008-09-01,6.010000,6.360000,4.450000,5.620000,5.169075,45859700
