Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,7.713330,7.713330,7.003330,7.226670,2.077532,8760000
1962-02-01,7.300000,7.480000,7.093330,7.160000,2.058365,5737600
1962-03-01,7.186670,7.413330,7.070000,7.103330,2.042351,5344000
1962-04-01,7.100000,7.100000,6.000000,6.053330,1.740457,12851200
1962-05-01,6.053330,6.530000,4.733330,5.233330,1.504688,49307200
1962-06-01,5.213330,5.213330,4.000000,4.523330,1.300755,68451200
1962-07-01,4.523330,5.246670,4.513330,5.160000,1.483839,41052800
1962-08-01,5.146670,5.530000,4.940000,5.283330,1.519304,41353600
1962-09-01,5.283330,5.353330,4.646670,4.713330,1.355659,33204800
1962-10-01,4.713330,4.956670,4.293330,4.613330,1.326897,42958400
1962-11-01,4.613330,5.356670,4.560000,5.313330,1.528233,36654400
1962-12-01,5.260000,5.413330,5.086670,5.200000,1.495950,21891200
1963-01-01,5.200000,5.660000,5.123330,5.650000,1.625409,28531200
1963-02-01,5.650000,5.665000,5.320000,5.330000,1.533349,13190400
1963-03-01,5.330000,5.643330,5.296670,5.613330,1.615243,12147200
1963-04-01,5.613330,6.326670,5.566670,6.183330,1.779260,18203200
1963-05-01,6.183330,6.380000,6.100000,6.363330,1.831056,11387200
1963-06-01,6.363330,6.383330,5.760000,5.816670,1.674117,12854400
1963-07-01,5.816670,5.973330,5.670000,5.793330,1.667400,16763200
1963-08-01,5.793330,6.126670,5.733330,5.930000,1.706736,13878400
1963-09-01,5.938330,6.253330,5.938330,6.026670,1.734955,18100800
1963-10-01,6.026670,6.690000,5.980000,6.586670,1.896167,24403200
1963-11-01,6.586670,6.610000,6.146670,6.470000,1.862579,12488000
1963-12-01,6.506670,6.793330,6.313330,6.760000,1.946564,13035200
1964-01-01,6.800000,7.560000,6.766670,7.226670,2.080942,22300800
1964-02-01,7.226670,7.686670,7.120000,7.586670,2.184607,11291200
1964-03-01,7.586670,7.926670,7.413330,7.923330,2.282076,11723200
1964-04-01,7.933330,8.020000,7.603330,7.603330,2.189911,12776000
1964-05-01,7.613330,8.233330,7.613330,8.000000,2.304159,10512000
1964-06-01,8.000000,8.058330,7.683330,7.950000,2.290340,8619200
1964-07-01,7.979170,8.200000,7.666670,7.700000,2.218316,9276800
1964-08-01,7.700000,7.700000,7.091670,7.341670,2.115084,11555200
1964-09-01,7.341670,7.433330,6.866670,7.275000,2.096447,11804800
1964-10-01,7.275000,7.275000,6.916670,7.000000,2.017200,7595200
1964-11-01,6.995830,7.241670,6.875000,6.875000,1.981179,8470400
1964-12-01,6.858330,6.966670,6.783330,6.825000,1.967353,8364800
1965-01-01,6.825000,7.500000,6.733330,7.475000,2.154722,11296000
1965-02-01,7.458330,7.618750,7.083330,7.595830,2.189551,7942400
1965-03-01,7.595830,7.825000,7.466670,7.570830,2.183081,7204800
1965-04-01,7.583330,8.083330,7.583330,8.083330,2.330861,6395200
1965-05-01,8.066670,8.191670,7.666670,7.966670,2.297221,5681600
1965-06-01,7.933330,7.958330,7.291670,7.633330,2.201785,14480000
1965-07-01,7.633330,7.983330,7.583330,7.983330,2.302740,7908800
1965-08-01,7.983330,8.397920,7.904170,8.316670,2.398890,9350400
1965-09-01,8.316670,8.620830,8.300000,8.541670,2.464567,7246400
1965-10-01,8.512500,8.883330,8.387500,8.883330,2.563148,7057600
1965-11-01,8.883330,9.233330,8.700000,8.750000,2.524678,4550400
1965-12-01,8.750000,8.795830,8.237500,8.316670,2.400322,12908800
1966-01-01,8.291670,8.558330,7.866670,8.266670,2.385890,12648000
1966-02-01,8.266670,8.745830,8.133330,8.583330,2.477284,8011200
1966-03-01,8.583330,8.750000,8.241670,8.600000,2.482837,9123200
1966-04-01,8.600000,9.366670,8.566670,9.291670,2.682523,7316800
1966-05-01,9.291670,9.350000,8.600000,9.068750,2.618166,10494400
1966-06-01,8.912500,9.162500,8.312500,8.762500,2.530508,13753600
