Date,Open,High,Low,Close,Adj Close,Volume
2015-05-19,66.320000,66.519997,65.709999,66.500000,66.500000,4414300
2015-05-20,66.559998,66.860001,65.790001,65.839996,65.839996,3764900
2015-05-21,65.610001,66.599998,65.510002,65.910004,65.910004,3428100
2015-05-22,66.059998,66.800003,65.980003,66.099998,66.099998,2877300
2015-05-26,66.099998,66.500000,64.949997,65.110001,65.110001,2759700
2015-05-27,65.400002,66.029999,65.199997,65.389999,65.389999,3026600
2015-05-28,65.610001,66.330002,65.269997,65.379997,65.379997,3063100
2015-05-29,65.239998,65.769997,64.919998,65.489998,65.489998,2966300
2015-06-01,65.489998,65.940002,64.629997,64.669998,64.669998,2906400
2015-06-02,65.029999,65.870003,64.800003,65.730003,65.730003,3066500
2015-06-03,65.879997,66.180000,65.300003,65.339996,65.339996,2147500
2015-06-04,64.510002,65.540001,64.349998,64.839996,64.839996,1938700
2015-06-05,64.830002,64.959999,63.310001,63.419998,63.419998,3991800
2015-06-08,63.200001,63.310001,62.619999,62.709999,62.709999,2402200
2015-06-09,62.880001,63.040001,61.950001,62.049999,62.049999,2320600
2015-06-10,62.500000,62.619999,61.700001,62.459999,62.459999,2559500
2015-06-11,62.900002,63.099998,62.320000,62.410000,62.410000,1581800
2015-06-12,62.090000,62.869999,62.090000,62.669998,62.669998,1854800
2015-06-15,62.250000,62.990002,62.189999,62.599998,62.599998,2225700
2015-06-16,62.599998,62.970001,62.009998,62.080002,62.080002,2282000
2015-06-17,62.450001,63.189999,62.299999,62.759998,62.759998,2701500
2015-06-18,62.720001,63.349998,62.720001,63.200001,63.200001,1301500
2015-06-19,62.980000,64.150002,62.980000,63.810001,63.810001,3551900
2015-06-22,64.129997,64.470001,63.599998,63.650002,63.650002,1649400
2015-06-23,63.779999,64.589996,63.759998,63.900002,63.900002,2112500
2015-06-24,64.029999,64.559998,63.630001,63.990002,63.990002,1690100
2015-06-25,64.160004,64.500000,63.340000,63.360001,63.360001,1420400
2015-06-26,63.400002,63.849998,63.130001,63.369999,63.369999,1957400
2015-06-29,63.189999,63.450001,62.410000,62.529999,62.529999,2281100
2015-06-30,62.990002,63.009998,62.430000,62.610001,62.610001,1652400
2015-07-01,62.930000,63.220001,62.000000,62.820000,62.820000,2412000
2015-07-02,63.110001,63.950001,62.959999,63.130001,63.130001,1894800
2015-07-06,62.500000,63.160000,62.459999,62.830002,62.830002,2348200
2015-07-07,63.150002,65.050003,62.959999,64.959999,64.959999,3041200
2015-07-08,64.449997,65.199997,64.250000,64.589996,64.589996,2726000
2015-07-09,65.199997,65.199997,62.139999,62.680000,62.680000,4416500
2015-07-10,63.709999,64.250000,63.500000,63.950001,63.950001,1937100
2015-07-13,64.349998,64.440002,63.730000,64.070000,64.070000,1728400
2015-07-14,63.889999,64.930000,63.700001,64.769997,64.769997,2574400
2015-07-15,64.849998,64.849998,63.580002,64.000000,64.000000,2303300
2015-07-16,64.169998,64.260002,63.650002,63.730000,63.730000,2263800
2015-07-17,63.529999,63.730000,62.250000,62.259998,62.259998,3069600
