Date,Open,High,Low,Close,Adj Close,Volume
1995-06-01,5.000000,6.000000,4.500000,5.625000,4.925389,414300
1995-07-01,5.250000,6.000000,5.250000,5.796800,5.075822,277000
1995-08-01,6.000000,7.500000,5.625000,6.750000,5.910470,1030700
1995-09-01,6.500000,7.750000,6.375000,6.875000,6.019921,586000
1995-10-01,6.875000,7.125000,6.250000,6.625000,5.801013,564200
1995-11-01,6.750000,7.500000,6.500000,6.750000,5.910470,398800
1995-12-01,7.000000,7.000000,6.375000,6.625000,5.801013,408500
1996-01-01,6.750000,8.500000,6.500000,8.375000,7.333359,1047900
1996-02-01,8.625000,11.125000,8.500000,10.000000,8.756249,2066800
1996-03-01,10.000000,10.250000,8.875000,9.187500,8.044802,930200
1996-04-01,9.125000,9.625000,8.625000,9.250000,8.099530,923300
1996-05-01,9.000000,9.250000,8.375000,8.750000,7.661718,1176500
1996-06-01,8.875000,9.000000,7.062500,7.312500,6.403007,1273000
1996-07-01,7.312500,8.500000,7.125000,8.125000,7.114451,1291800
1996-08-01,8.125000,8.187500,6.875000,8.125000,7.114451,1138900
1996-09-01,8.000000,8.000000,6.875000,7.375000,6.457733,827500
1996-10-01,7.187500,8.062500,6.937500,7.000000,6.129373,893900
1996-11-01,6.937500,7.562500,6.562500,6.625000,5.801013,770900
1996-12-01,6.500000,6.750000,5.937500,6.125000,5.363203,908400
1997-01-01,6.125000,7.375000,5.625000,6.875000,6.019921,1361300
1997-02-01,7.000000,9.250000,6.812500,8.812500,7.716446,1362800
1997-03-01,8.625000,8.875000,6.625000,6.625000,5.801013,891600
1997-04-01,6.625000,7.218700,6.000000,6.250000,5.472655,888000
1997-05-01,6.375000,7.375000,6.125000,7.062500,6.184100,688600
1997-06-01,7.093700,7.625000,6.000000,6.000000,5.253750,782800
1997-07-01,6.000000,7.000000,5.312500,6.687500,5.855741,1152100
1997-08-01,6.687500,7.062500,6.250000,6.453100,5.650495,588400
1997-09-01,6.750000,8.500000,5.875000,8.375000,7.333359,976000
1997-10-01,8.375000,8.750000,7.375000,8.125000,7.114451,1575000
1997-11-01,8.375000,9.500000,7.500000,9.250000,8.099530,1300300
1997-12-01,9.000000,11.265600,8.125000,10.250000,8.975155,2119000
1998-01-01,10.125000,10.125000,8.000000,9.500000,8.318435,1511100
1998-02-01,9.500000,12.000000,8.937500,9.843700,8.619390,3729000
1998-03-01,9.875000,10.187500,8.000000,9.875000,8.646796,2024500
1998-04-01,10.000000,11.000000,9.250000,10.000000,8.756249,1274200
1998-05-01,9.875000,10.000000,8.125000,8.375000,7.333359,1157600
1998-06-01,8.625000,9.250000,8.000000,9.125000,7.990078,1123300
1998-07-01,9.250000,9.250000,8.000000,8.125000,7.114451,964000
1998-08-01,8.125000,8.250000,5.046800,5.125000,4.487577,1809800
1998-09-01,5.000000,6.250000,5.000000,5.875000,5.144294,4213000
1998-10-01,6.250000,6.812500,5.250000,6.125000,5.363203,2716000
1998-11-01,6.000000,6.250000,5.000000,5.062500,4.432852,2234400
1998-12-01,5.000000,5.625000,4.750000,5.000000,4.378125,2219600
1999-01-01,5.125000,6.500000,4.937500,5.187500,4.542303,2064200
1999-02-01,5.187500,6.375000,5.125000,5.531200,4.843256,3255900
1999-03-01,5.750000,5.875000,5.000000,5.125000,4.487577,2170900
1999-04-01,5.062500,6.187500,4.500000,5.812500,5.089570,1970400
1999-05-01,5.812500,6.250000,5.500000,5.687500,4.980116,1616300
1999-06-01,5.562500,6.250000,5.000000,6.000000,5.253750,1294200
1999-07-01,5.750000,6.187500,5.250000,5.500000,4.815937,1322600
1999-08-01,5.500000,5.937500,5.250000,5.375000,4.706484,1216500
1999-09-01,5.500000,7.562500,4.875000,7.250000,6.348280,4219200
1999-10-01,7.500000,7.562500,6.250000,6.500000,5.691561,3746200
1999-11-01,6.875000,6.937500,5.562500,6.562500,5.746289,2361000
1999-12-01,6.562500,6.750000,5.062500,5.312500,4.651757,4817700
2000-01-01,5.312500,5.500000,4.500000,4.750000,4.159217,2546500
2000-02-01,4.687500,5.375000,3.687500,4.000000,3.502499,2606600
2000-03-01,3.968700,4.250000,3.500000,3.812500,3.338319,2255700
2000-04-01,3.812500,4.062500,3.437500,3.812500,3.338319,1730900
2000-05-01,3.765600,4.375000,3.625000,3.765600,3.297253,1411900
2000-06-01,3.812500,4.625000,3.437500,3.625000,3.174140,1227100
2000-07-01,3.500000,3.812500,2.937500,3.125000,2.736328,1117700
2000-08-01,3.125000,4.000000,3.062500,3.765600,3.297253,1417600
2000-09-01,3.843700,3.937500,3.375000,3.562500,3.119414,1816200
2000-10-01,3.593700,3.625000,2.859300,2.937500,2.572147,1614200
2000-11-01,2.937500,3.125000,2.500000,2.625000,2.298515,1229900
2000-12-01,2.796800,3.000000,2.531200,2.625000,2.298515,2613600
2001-01-01,2.718700,3.484300,2.562500,3.125000,2.736328,3157000
2001-02-01,3.125000,3.250000,2.687500,3.093700,2.708921,1660500
2001-03-01,3.125000,3.281200,2.437500,2.562500,2.243789,2735600
2001-04-01,2.593700,2.850000,2.406200,2.760000,2.416725,1192100
2001-05-01,2.750000,3.940000,2.690000,3.190000,2.793243,4215900
2001-06-01,3.080000,3.990000,3.030000,3.600000,3.152249,2805800
2001-07-01,3.580000,3.850000,3.240000,3.250000,2.845780,1527800
2001-08-01,3.260000,3.760000,3.250000,3.400000,2.977125,1835900
2001-09-01,3.410000,4.530000,3.300000,4.140000,3.625087,3412100
2001-10-01,4.300000,4.300000,3.310000,3.500000,3.064686,3632300
2001-11-01,3.500000,3.580000,3.000000,3.500000,3.064686,2517400
2001-12-01,3.570000,4.250000,3.290000,4.190000,3.668869,3124200
2002-01-01,4.220000,4.740000,4.000000,4.420000,3.870262,3129100
2002-02-01,4.460000,5.750000,4.460000,4.980000,4.360612,6196700
2002-03-01,4.990000,5.970000,4.250000,5.600000,4.903500,5840000
2002-04-01,5.510000,5.860000,4.890000,5.630000,4.929768,6438900
2002-05-01,5.790000,8.710000,5.500000,8.650000,7.574154,16526000
2002-06-01,8.670000,9.850000,6.460000,7.470000,6.540916,18338400
2002-07-01,7.970000,8.950000,4.840000,6.100000,5.341311,17733600
2002-08-01,5.690000,7.350000,5.600000,7.090000,6.208180,8296500
2002-09-01,7.150000,7.420000,5.900000,6.140000,5.376336,6744400
2002-10-01,6.020000,6.840000,4.500000,5.520000,4.833449,7683100
2002-11-01,5.640000,6.550000,5.150000,5.400000,4.728373,5996800
2002-12-01,5.350000,7.900000,5.280000,7.840000,6.864900,12367600
2003-01-01,7.630000,8.460000,7.200000,7.760000,6.794849,12373400
2003-02-01,7.680000,8.430000,6.270000,6.460000,5.656537,9077700
2003-03-01,6.450000,6.780000,5.550000,6.100000,5.341311,7589500
2003-04-01,6.200000,6.980000,5.750000,6.280000,5.498925,6880100
2003-05-01,6.430000,7.300000,6.380000,6.610000,5.787881,8807500
2003-06-01,6.510000,7.610000,6.450000,7.050000,6.173155,7309600
2003-07-01,7.230000,8.990000,7.070000,8.900000,7.793063,19122600
2003-08-01,8.900000,10.740000,8.070000,10.530000,9.220330,18202900
2003-09-01,10.710000,11.500000,9.220000,9.630000,8.432267,19128400
2003-10-01,9.820000,11.040000,9.020000,10.530000,9.220330,12679400
2003-11-01,10.240000,13.430000,9.510000,13.220000,11.575762,18620100
2003-12-01,13.940000,14.780000,11.420000,14.300000,12.521437,21329600
2004-01-01,14.380000,17.000000,13.780000,14.410000,12.617755,31842600
2004-02-01,14.130000,18.670000,13.700000,17.670000,15.472295,25538900
