Date,Open,High,Low,Close,Adj Close,Volume
1999-03-01,451.500000,517.500000,438.000000,497.250000,497.250000,1322900
1999-04-01,550.500000,990.000000,348.000000,974.250000,974.250000,9270600
1999-05-01,914.625000,953.250000,582.000000,672.187500,672.187500,9716500
1999-06-01,657.750000,716.625000,448.500000,693.375000,693.375000,10008400
1999-07-01,701.250000,710.250000,440.625000,453.375000,453.375000,5470200
1999-08-01,451.875000,505.875000,354.000000,408.750000,408.750000,8735700
1999-09-01,420.750000,447.000000,321.000000,387.000000,387.000000,10754500
1999-10-01,384.000000,476.250000,360.000000,361.500000,361.500000,7444600
1999-11-01,366.000000,486.000000,303.000000,372.000000,372.000000,14384600
1999-12-01,375.375000,405.000000,273.000000,284.250000,284.250000,10588000
2000-01-01,315.000000,415.500000,288.000000,348.000000,348.000000,15502900
2000-02-01,350.250000,372.000000,291.000000,335.625000,335.625000,7926900
2000-03-01,354.750000,625.500000,354.000000,480.000000,480.000000,20435900
2000-04-01,465.375000,516.000000,292.500000,379.500000,379.500000,11410900
2000-05-01,387.375000,395.250000,198.375000,228.750000,228.750000,9590400
2000-06-01,232.125000,309.000000,199.875000,227.906250,227.906250,9360000
2000-07-01,230.625000,251.250000,135.750000,141.750000,141.750000,13710000
2000-08-01,151.125000,179.625000,137.250000,163.125000,163.125000,11870900
2000-09-01,162.375000,177.750000,60.375000,71.250000,71.250000,20717500
2000-10-01,72.375000,72.375000,24.750000,34.500000,34.500000,19352000
2000-11-01,34.500000,42.562500,12.750000,15.000000,15.000000,14295600
2000-12-01,15.000000,16.500000,6.375000,7.875000,7.875000,11137000
2001-01-01,8.250000,24.937500,7.875000,15.937500,15.937500,12520800
2001-02-01,16.875000,19.312500,11.812500,16.125000,16.125000,6154500
2001-03-01,15.375000,16.875000,12.187500,15.187500,15.187500,3889800
2001-04-01,16.500000,29.219999,15.000000,29.100000,29.100000,6623000
2001-05-01,36.299999,46.740002,24.000000,32.400002,32.400002,24108800
2001-06-01,33.119999,54.599998,30.660000,54.299999,54.299999,26611600
2001-07-01,53.880001,61.619999,43.799999,53.220001,53.220001,19850600
2001-08-01,61.500000,62.099998,30.959999,33.119999,33.119999,19485400
2001-09-01,33.599998,35.459999,10.800000,22.740000,22.740000,21117500
2001-10-01,21.900000,29.700001,18.660000,28.860001,28.860001,12285200
2001-11-01,29.459999,29.820000,22.799999,25.200001,25.200001,9932900
2001-12-01,25.379999,39.720001,24.059999,34.919998,34.919998,11650700
2002-01-01,35.040001,40.740002,32.160000,37.799999,37.799999,8390700
2002-02-01,40.200001,41.340000,21.900000,24.000000,24.000000,10646600
2002-03-01,24.180000,33.779999,24.120001,31.379999,31.379999,9884900
2002-04-01,31.200001,32.580002,23.100000,30.240000,30.240000,7114200
2002-05-01,30.600000,31.740000,19.740000,24.180000,24.180000,7151400
2002-06-01,24.480000,27.540001,14.880000,16.740000,16.740000,5820200
2002-07-01,16.799999,16.920000,10.200000,11.100000,11.100000,5919200
2002-08-01,14.160000,17.040001,11.700000,14.100000,14.100000,8036900
2002-09-01,14.040000,14.580000,8.220000,8.760000,8.760000,3642500
2002-10-01,9.000000,15.000000,6.300000,13.260000,13.260000,5290500
2002-11-01,13.200000,14.160000,8.160000,10.500000,10.500000,9841000
2002-12-01,10.800000,11.100000,8.220000,9.600000,9.600000,5559000
2003-01-01,9.720000,10.200000,7.020000,7.800000,7.800000,3935300
2003-02-01,7.680000,8.940000,6.780000,7.920000,7.920000,3198300
2003-03-01,7.860000,12.120000,7.440000,9.840000,9.840000,6496900
2003-04-01,9.900000,13.440000,9.600000,13.320000,13.320000,6695900
2003-05-01,13.800000,27.000000,13.800000,24.600000,24.600000,19987000
2003-06-01,25.080000,28.320000,21.090000,22.320000,22.320000,15336400
2003-07-01,22.410000,35.439999,21.320000,32.840000,32.840000,28169100
2003-08-01,32.830002,39.810001,29.180000,39.490002,39.490002,16366300
2003-09-01,39.700001,39.720001,27.440001,29.040001,29.040001,24405900
2003-10-01,29.180000,34.000000,26.660000,28.180000,28.180000,17964500
2003-11-01,28.299999,30.100000,17.120001,19.049999,19.049999,51774700
2003-12-01,19.240000,19.299999,16.120001,17.900000,17.900000,20250100
2004-01-01,18.049999,21.719999,18.000000,19.129999,19.129999,22606000
2004-02-01,19.299999,25.650000,18.280001,23.020000,23.020000,34182900
2004-03-01,23.299999,27.580000,21.900000,26.959999,26.959999,21500700
2004-04-01,27.070000,27.740000,23.830000,24.270000,24.270000,14594000
2004-05-01,24.309999,27.240000,22.270000,26.200001,26.200001,18055500
2004-06-01,26.200001,29.520000,26.000000,26.930000,26.930000,22441400
2004-07-01,26.809999,26.950001,22.219999,23.680000,23.680000,14871200
2004-08-01,23.700001,23.980000,17.420000,20.879999,20.879999,23756800
2004-09-01,20.959999,22.610001,19.320000,22.170000,22.170000,20160700
2004-10-01,22.320000,23.709999,19.650000,19.940001,19.940001,12116100
2004-11-01,19.950001,25.549999,19.690001,23.870001,23.870001,18347800
2004-12-01,23.930000,26.150000,22.500000,23.590000,23.590000,14200200
2005-01-01,23.719999,25.809999,21.950001,22.590000,22.590000,21340600
2005-02-01,22.639999,23.540001,20.510000,22.469999,22.469999,14577600
2005-03-01,22.570000,27.080000,21.600000,25.200001,25.200001,14373300
2005-04-01,25.270000,26.969999,23.910000,25.360001,25.360001,12490200
2005-05-01,25.299999,27.000000,22.860001,23.950001,23.950001,13390200
2005-06-01,23.850000,24.700001,22.219999,23.330000,23.330000,9945700
2005-07-01,23.379999,25.000000,21.889999,24.840000,24.840000,11145900
2005-08-01,24.940001,25.290001,20.629999,21.490000,21.490000,9854400
2005-09-01,21.510000,21.670000,18.570000,19.320000,19.320000,9797000
2005-10-01,19.230000,20.629999,18.200001,18.969999,18.969999,10814900
2005-11-01,19.030001,25.030001,19.010000,24.020000,24.020000,17901000
2005-12-01,23.959999,24.840000,22.250000,22.320000,22.320000,6706900
2006-01-01,22.320000,23.240000,21.129999,22.049999,22.049999,6863200
2006-02-01,21.850000,24.840000,21.059999,24.549999,24.549999,13405600
2006-03-01,24.530001,24.980000,23.010000,24.840000,24.840000,6753700
2006-04-01,24.959999,25.389999,23.719999,24.440001,24.440001,4814000
2006-05-01,24.389999,32.160000,24.110001,31.100000,31.100000,16463500
2006-06-01,30.959999,32.660000,29.100000,29.860001,29.860001,14456500
2006-07-01,29.760000,30.480000,25.799999,26.879999,26.879999,8408900
2006-08-01,26.620001,33.750000,25.620001,33.400002,33.400002,22321900
2006-09-01,33.310001,37.160000,30.260000,36.790001,36.790001,37153900
2006-10-01,36.790001,41.490002,36.509998,40.290001,40.290001,20900800
2006-11-01,40.619999,43.799999,38.490002,39.490002,39.490002,23454100
