Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,0.750000,0.750000,0.597220,0.618060,0.328742,3117600
1990-02-01,0.618060,0.722220,0.618060,0.722220,0.389994,7839000
1990-03-01,0.715280,0.763890,0.687500,0.701390,0.378746,3830400
1990-04-01,0.694440,0.729170,0.652780,0.680560,0.367497,2586600
1990-05-01,0.673610,0.708330,0.659720,0.694440,0.380362,1661400
1990-06-01,0.694440,0.715280,0.666670,0.701390,0.384169,1888200
1990-07-01,0.701390,0.701390,0.659720,0.694440,0.380362,2512800
1990-08-01,0.694440,0.694440,0.659720,0.666670,0.370597,3495600
1990-09-01,0.666670,0.673610,0.652780,0.666670,0.370597,2188800
1990-10-01,0.666670,0.666670,0.631940,0.666670,0.370597,1767600
1990-11-01,0.666670,0.694440,0.631940,0.687500,0.388123,2561400
1990-12-01,0.687500,0.770830,0.680560,0.770830,0.435166,3627000
1991-01-01,0.763890,0.791670,0.736110,0.756940,0.427324,3664800
1991-02-01,0.756940,0.833330,0.750000,0.805560,0.460695,1431000
1991-03-01,0.791670,0.833330,0.777780,0.805560,0.460695,2107800
1991-04-01,0.805560,0.916670,0.805560,0.916670,0.524239,3011400
1991-05-01,0.916670,0.916670,0.861110,0.888890,0.514135,1333800
1991-06-01,0.888890,0.916670,0.881940,0.895830,0.518150,813600
1991-07-01,0.888890,0.944440,0.888890,0.916670,0.530203,2129400
1991-08-01,0.916670,0.937500,0.881940,0.916670,0.535920,4330800
1991-09-01,0.909720,0.937500,0.902780,0.937500,0.548098,2514600
1991-10-01,0.930560,1.041670,0.930560,1.041670,0.609000,4856400
1991-11-01,1.034720,1.048610,0.944440,0.965280,0.570162,3639600
1991-12-01,0.951390,1.006940,0.944440,1.000000,0.590670,1395000
1992-01-01,1.013890,1.111110,1.013890,1.083330,0.639890,4885200
1992-02-01,1.076390,1.131940,1.041670,1.131940,0.674714,6930000
1992-03-01,1.131940,1.145830,1.090280,1.090280,0.649881,10416600
1992-04-01,1.083330,1.138890,1.013890,1.118060,0.666440,7417800
1992-05-01,1.125000,1.194440,1.118060,1.180560,0.709928,2736000
1992-06-01,1.173610,1.229170,1.138890,1.194440,0.718275,2806200
1992-07-01,1.194440,1.229170,1.166670,1.215280,0.730807,3231000
1992-08-01,1.222220,1.236110,1.187500,1.236110,0.749646,30160800
1992-09-01,1.236110,1.250000,1.180560,1.187500,0.720166,7398000
1992-10-01,1.180560,1.208330,1.125000,1.194440,0.724375,7167600
1992-11-01,1.208330,1.208330,1.104170,1.118060,0.683987,3450600
1992-12-01,1.118060,1.152780,1.034720,1.125000,0.688233,12470400
1993-01-01,1.131940,1.138890,1.076390,1.097220,0.671238,6087600
1993-02-01,1.090280,1.118060,1.020830,1.076390,0.664514,5589000
1993-03-01,1.076390,1.104170,1.055560,1.062500,0.655938,8413200
1993-04-01,1.055560,1.062500,1.013890,1.034720,0.638788,3333600
1993-05-01,1.034720,1.097220,1.027780,1.069440,0.666537,7513200
1993-06-01,1.062500,1.166670,1.020830,1.104170,0.688183,3700800
1993-07-01,1.111110,1.166670,1.090280,1.118060,0.696840,11638800
1993-08-01,1.118060,1.118060,1.083330,1.090280,0.685697,3855600
1993-09-01,1.090280,1.159720,1.013890,1.027780,0.646390,29340000
1993-10-01,1.041670,1.083330,1.027780,1.076390,0.676962,16986600
1993-11-01,1.076390,1.187500,1.076390,1.152780,0.731848,26830800
1993-12-01,1.152780,1.423610,1.152780,1.423610,0.903785,51296400
1994-01-01,1.416670,1.638890,1.388890,1.583330,1.005185,98105400
1994-02-01,1.583330,1.631940,1.402780,1.430560,0.913894,63867600
1994-03-01,1.437500,1.583330,1.368060,1.409720,0.900581,66263400
1994-04-01,1.388890,1.493060,1.236110,1.416670,0.905022,87831000
1994-05-01,1.423610,1.451390,1.347220,1.437500,0.925232,37800000
1994-06-01,1.451390,1.534720,1.381940,1.520830,0.978866,62373600
1994-07-01,1.520830,1.784720,1.493060,1.777780,1.144249,74086200
1994-08-01,1.770830,1.909720,1.666670,1.902780,1.232386,82573200
1994-09-01,1.895830,2.312500,1.861110,2.277780,1.475266,142401600
1994-10-01,2.277780,2.340280,1.791670,1.965280,1.272866,147630600
