Date,Open,High,Low,Close,Adj Close,Volume
2011-03-01,12.730000,14.650000,9.750000,10.250000,10.250000,1320000
2011-04-01,10.170000,11.010000,9.650000,10.360000,10.360000,1201000
2011-05-01,10.060000,10.290000,8.260000,9.930000,9.930000,506400
2011-06-01,9.950000,9.950000,8.620000,9.490000,9.490000,583300
2011-07-01,9.490000,11.700000,9.490000,10.680000,10.680000,725600
2011-08-01,10.680000,11.460000,9.170000,10.310000,10.310000,1132700
2011-09-01,10.300000,13.110000,9.560000,9.560000,9.560000,897600
2011-10-01,9.690000,10.320000,8.650000,9.920000,9.920000,924400
2011-11-01,9.700000,11.760000,7.980000,11.730000,11.730000,759000
2011-12-01,11.940000,13.120000,10.740000,12.300000,12.300000,712600
2012-01-01,12.480000,16.980000,12.450000,16.209999,16.209999,1411100
2012-02-01,16.459999,18.150000,15.020000,17.930000,17.930000,2931800
2012-03-01,18.129999,18.430000,13.030000,14.290000,14.290000,2521300
2012-04-01,14.210000,16.920000,14.140000,16.900000,16.900000,1759100
2012-05-01,16.930000,16.990000,10.800000,13.070000,13.070000,2919300
2012-06-01,12.720000,15.960000,12.720000,13.800000,13.800000,2540200
2012-07-01,14.650000,14.920000,12.660000,14.670000,14.670000,2363700
2012-08-01,14.590000,15.910000,13.640000,14.750000,14.750000,2465300
2012-09-01,14.710000,15.140000,12.320000,13.030000,13.030000,5653600
2012-10-01,13.140000,14.290000,12.660000,13.520000,13.520000,2606200
2012-11-01,13.570000,14.460000,12.360000,13.560000,13.560000,2365600
2012-12-01,13.720000,14.310000,12.760000,13.210000,13.210000,1601900
2013-01-01,13.530000,13.760000,10.950000,11.140000,11.140000,2727100
2013-02-01,11.180000,11.340000,7.540000,7.690000,7.690000,5580600
2013-03-01,7.670000,8.690000,6.910000,7.920000,7.920000,5205200
2013-04-01,7.940000,7.940000,5.390000,7.330000,7.330000,8017900
2013-05-01,7.190000,8.480000,6.160000,8.120000,8.120000,5830200
2013-06-01,8.270000,9.040000,5.670000,6.600000,6.600000,6660400
2013-07-01,6.710000,8.850000,6.260000,8.440000,8.440000,7482100
2013-08-01,8.440000,10.140000,7.140000,8.440000,8.440000,10030300
2013-09-01,8.600000,8.770000,6.560000,6.890000,6.890000,9495900
2013-10-01,6.740000,7.440000,3.040000,3.270000,3.270000,26108100
2013-11-01,3.240000,5.800000,2.700000,5.430000,5.430000,26906700
2013-12-01,5.690000,6.190000,4.800000,5.160000,5.160000,19527900
2014-01-01,5.260000,6.590000,4.810000,5.880000,5.880000,13917900
2014-02-01,5.930000,7.150000,5.620000,6.210000,6.210000,12070100
2014-03-01,6.320000,7.490000,5.590000,5.760000,5.760000,12152100
2014-04-01,5.750000,6.830000,5.470000,6.500000,6.500000,7549500
2014-05-01,6.430000,7.700000,6.250000,6.410000,6.410000,6967100
2014-06-01,6.450000,8.300000,6.190000,8.270000,8.270000,8241000
2014-07-01,8.240000,8.850000,6.760000,6.870000,6.870000,11445200
2014-08-01,6.930000,7.430000,6.500000,7.420000,7.420000,9219400
2014-09-01,7.290000,7.330000,5.200000,5.200000,5.200000,8191300
2014-10-01,5.290000,6.190000,4.070000,4.560000,4.560000,9960700
2014-11-01,4.560000,6.300000,4.120000,5.430000,5.430000,9832300
2014-12-01,5.600000,6.420000,4.790000,5.790000,5.790000,34306600
2015-01-01,5.700000,7.560000,5.640000,6.680000,6.680000,19236300
2015-02-01,6.650000,6.900000,5.680000,6.160000,6.160000,15147100
2015-03-01,6.160000,6.210000,4.850000,5.040000,5.040000,19809000
2015-04-01,5.090000,6.240000,5.060000,5.760000,5.760000,12103600
2015-05-01,5.720000,6.560000,5.280000,5.930000,5.930000,10020700
2015-06-01,5.970000,6.240000,5.310000,5.420000,5.420000,14964400
2015-07-01,5.400000,5.450000,4.260000,4.980000,4.980000,15826800
2015-08-01,4.950000,5.890000,4.650000,5.340000,5.340000,16350000
2015-09-01,5.430000,6.060000,4.560000,6.050000,6.050000,13587600
2015-10-01,6.100000,6.950000,5.820000,5.990000,5.990000,16655600
2015-11-01,5.950000,6.010000,5.120000,5.390000,5.390000,10582800
2015-12-01,5.460000,6.050000,4.880000,5.040000,5.040000,13162200
2016-01-01,5.150000,5.670000,4.000000,4.280000,4.280000,14027600
2016-02-01,4.330000,5.350000,4.310000,4.660000,4.660000,29128000
2016-03-01,4.750000,5.830000,4.480000,5.350000,5.350000,42839500
2016-04-01,5.250000,8.310000,5.120000,8.230000,8.230000,34876900
2016-05-01,8.370000,8.740000,7.010000,7.290000,7.290000,32555900
2016-06-01,7.310000,11.240000,7.050000,11.200000,11.200000,41003000
2016-07-01,11.440000,12.410000,10.320000,11.880000,11.880000,30086800
2016-08-01,11.880000,12.240000,9.340000,9.620000,9.620000,27111700
2016-09-01,9.550000,12.090000,9.450000,10.270000,10.270000,45597800
2016-10-01,10.230000,10.400000,8.250000,9.790000,9.790000,31346900
2016-11-01,10.000000,10.760000,7.770000,8.740000,8.740000,39957100
