Date,Open,High,Low,Close,Adj Close,Volume
1981-06-01,2.875000,3.000000,2.625000,2.625000,2.174249,576000
1981-07-01,2.625000,4.500000,2.500000,3.875000,3.209605,706500
1981-08-01,3.875000,3.875000,2.875000,2.875000,2.381320,289800
1981-09-01,2.937500,4.000000,2.500000,3.375000,2.795462,444600
1981-10-01,3.375000,7.250000,3.375000,6.000000,4.969709,865600
1981-11-01,6.000000,6.125000,5.375000,6.000000,4.969709,308400
1981-12-01,6.000000,8.375000,6.000000,6.250000,5.176782,478000
1982-01-01,6.250000,6.250000,5.500000,6.000000,4.969709,310100
1982-02-01,6.000000,6.125000,5.250000,5.500000,4.555569,159300
1982-03-01,5.500000,5.750000,4.250000,4.500000,3.727283,279000
1982-04-01,4.750000,6.875000,4.750000,6.125000,5.073246,318500
1982-05-01,6.125000,7.125000,5.750000,6.625000,5.487390,398100
1982-06-01,6.625000,7.500000,5.500000,6.750000,5.590924,191100
1982-07-01,6.875000,7.500000,5.375000,5.625000,4.659102,271900
1982-08-01,5.750000,6.500000,5.250000,5.875000,4.866177,191800
1982-09-01,5.875000,6.500000,5.625000,5.625000,4.659102,140900
1982-10-01,5.750000,7.375000,5.625000,6.500000,5.383855,303200
1982-11-01,6.875000,7.375000,6.625000,6.875000,5.694458,266400
1982-12-01,6.875000,7.000000,6.625000,6.750000,5.590924,219200
1983-01-01,6.750000,7.375000,6.375000,6.750000,5.590924,235400
1983-02-01,6.750000,7.500000,6.500000,7.125000,5.901533,385500
1983-03-01,7.125000,7.250000,6.625000,6.875000,5.694458,349700
1983-04-01,7.125000,11.500000,7.125000,10.375000,8.593460,532800
1983-05-01,10.750000,11.375000,10.000000,11.125000,9.214672,247500
1983-06-01,11.250000,17.500000,11.250000,15.000000,12.424275,375700
1983-07-01,14.500000,15.000000,13.500000,14.750000,12.217205,113800
1983-08-01,14.750000,17.625000,13.000000,14.125000,11.699526,402700
1983-09-01,14.125000,17.500000,13.875000,15.625000,12.941955,260800
1983-10-01,15.625000,18.250000,13.375000,17.125000,14.184380,310200
1983-11-01,17.000000,18.000000,13.875000,15.500000,12.838422,283900
1983-12-01,15.500000,15.500000,11.500000,11.875000,9.835886,186300
1984-01-01,11.875000,13.125000,11.500000,12.125000,10.042956,131500
1984-02-01,12.125000,12.500000,10.250000,10.750000,8.904065,194100
1984-03-01,10.750000,11.125000,10.375000,10.625000,8.800528,94700
1984-04-01,10.625000,10.625000,8.250000,8.875000,7.351033,174800
1984-05-01,8.875000,9.625000,8.625000,9.125000,7.558101,82600
1984-06-01,9.125000,9.750000,9.000000,9.375000,7.765171,98000
1984-07-01,9.375000,9.500000,9.125000,9.500000,7.868710,139500
1984-08-01,9.500000,13.375000,9.375000,12.125000,10.042956,340100
1984-09-01,12.125000,12.375000,10.750000,11.375000,9.421746,143200
1984-10-01,11.500000,11.750000,8.000000,8.875000,7.351033,213700
1984-11-01,8.875000,9.250000,8.500000,8.875000,7.351033,138400
1984-12-01,8.875000,9.000000,7.375000,7.750000,6.419211,221400
1985-01-01,7.625000,7.625000,5.500000,6.500000,5.383855,594800
1985-02-01,6.500000,6.875000,6.125000,6.625000,5.487390,223500
1985-03-01,6.625000,7.000000,5.750000,6.125000,5.073246,151900
1985-04-01,6.125000,6.125000,5.125000,5.875000,4.866177,187300
1985-05-01,5.875000,6.125000,5.375000,5.625000,4.659102,140600
1985-06-01,5.625000,5.625000,4.250000,5.250000,4.348499,377800
1985-07-01,5.250000,5.375000,4.625000,5.000000,4.141427,232800
1985-08-01,5.000000,5.125000,3.125000,3.500000,2.898998,328500
1985-09-01,3.500000,3.875000,3.250000,3.750000,3.106069,218600
1985-10-01,3.625000,4.875000,3.500000,4.375000,3.623748,354600
1985-11-01,4.375000,4.500000,3.250000,3.750000,3.106069,279700
1985-12-01,3.750000,3.750000,2.500000,3.000000,2.484855,543600
1986-01-01,3.000000,3.125000,2.250000,2.500000,2.070714,202200
1986-02-01,2.250000,2.375000,1.625000,2.125000,1.760106,277500
1986-03-01,2.125000,2.625000,1.875000,2.375000,1.967177,150200
1986-04-01,2.375000,3.000000,2.125000,2.875000,2.381320,239400
1986-05-01,2.875000,3.125000,2.500000,2.625000,2.174249,152100
1986-06-01,2.625000,3.750000,2.000000,3.500000,2.898998,324500
1986-07-01,3.500000,3.625000,2.500000,2.750000,2.277784,140200
1986-08-01,2.750000,3.250000,2.500000,3.125000,2.588391,164600
1986-09-01,3.125000,3.125000,2.500000,3.000000,2.484855,217400
1986-10-01,3.000000,3.500000,2.750000,3.125000,2.588391,204900
1986-11-01,3.000000,3.500000,2.625000,3.000000,2.484855,283100
1986-12-01,2.875000,3.000000,2.500000,2.875000,2.381320,343000
1987-01-01,2.875000,5.125000,2.875000,5.000000,4.141427,480600
1987-02-01,5.000000,5.875000,3.625000,5.625000,4.659102,644300
1987-03-01,5.625000,9.250000,5.500000,9.000000,7.454566,1516700
1987-04-01,9.000000,12.500000,8.750000,10.500000,8.696998,1552600
1987-05-01,10.500000,14.875000,10.500000,12.000000,9.939419,1292400
1987-06-01,11.875000,12.375000,9.500000,10.375000,8.593460,538300
1987-07-01,10.375000,11.250000,9.750000,10.875000,9.007598,404700
1987-08-01,10.875000,12.375000,9.625000,12.250000,10.146491,513000
1987-09-01,12.250000,14.500000,11.875000,14.375000,11.906598,607100
1987-10-01,14.125000,14.250000,2.875000,6.375000,5.280318,2856400
1987-11-01,6.250000,6.750000,4.000000,5.000000,4.141427,768800
1987-12-01,5.000000,5.125000,3.000000,3.375000,2.795462,716900
1988-01-01,3.375000,4.000000,3.125000,3.687500,3.054301,168100
1988-02-01,3.687500,4.000000,2.875000,2.937500,2.433088,246500
1988-03-01,2.937500,3.750000,2.875000,3.500000,2.898998,196000
1988-04-01,3.500000,3.875000,2.750000,3.375000,2.795462,337900
1988-05-01,3.375000,4.250000,3.000000,4.250000,3.520212,387700
1988-06-01,4.250000,4.250000,3.250000,3.375000,2.795462,198700
1988-07-01,3.250000,3.375000,3.000000,3.000000,2.484855,147700
1988-08-01,3.000000,3.375000,3.000000,3.125000,2.588391,215200
1988-09-01,3.125000,4.000000,3.000000,3.125000,2.588391,232400
1988-10-01,3.000000,4.000000,3.000000,3.437500,2.847229,408700
1988-11-01,3.375000,3.625000,2.750000,2.750000,2.277784,258200
1988-12-01,2.750000,3.000000,2.500000,2.750000,2.277784,452600
1989-01-01,2.750000,3.000000,2.625000,2.750000,2.277784,268000
1989-02-01,2.750000,3.000000,2.750000,2.875000,2.381320,166000
1989-03-01,2.875000,2.875000,2.625000,2.625000,2.174249,147000
1989-04-01,2.625000,2.875000,2.375000,2.625000,2.174249,172100
1989-05-01,2.625000,2.875000,2.625000,2.750000,2.277784,92800
1989-06-01,2.750000,2.875000,2.625000,2.625000,2.174249,140700
1989-07-01,2.625000,2.875000,2.500000,2.750000,2.277784,182400
1989-08-01,2.625000,4.000000,2.000000,4.000000,3.313141,3180900
1989-09-01,4.000000,4.125000,3.000000,3.000000,2.484855,639700
1989-10-01,3.000000,3.125000,1.500000,2.000000,1.656571,764800
1989-11-01,1.875000,2.250000,1.625000,1.750000,1.449499,318400
1989-12-01,1.875000,2.000000,1.250000,1.625000,1.345964,518700
1990-01-01,1.625000,2.250000,1.437500,1.625000,1.345964,134900
1990-02-01,1.625000,1.875000,1.375000,1.500000,1.242427,357000
1990-03-01,1.500000,1.625000,1.125000,1.250000,1.035357,258900
1990-04-01,1.375000,1.875000,1.187500,1.593700,1.320037,163200
1990-05-01,1.593700,1.750000,1.250000,1.312500,1.087125,31900
1990-06-01,1.312500,1.437500,0.937500,1.000000,0.828285,117100
1990-07-01,1.000000,1.375000,0.937500,1.125000,0.931821,86400
1990-08-01,1.125000,1.500000,0.875000,0.937500,0.776517,216900
1990-09-01,0.875000,1.000000,0.750000,1.000000,0.828285,158000
1990-10-01,0.875000,1.000000,0.500000,0.625000,0.517678,99800
1990-11-01,0.562500,0.875000,0.500000,0.562500,0.465910,178700
1990-12-01,0.562500,0.562500,0.250000,0.375000,0.310607,504400
1991-01-01,0.375000,0.562500,0.343700,0.500000,0.414143,136600
1991-02-01,0.500000,0.625000,0.312500,0.500000,0.414143,164900
1991-03-01,0.500000,0.500000,0.250000,0.250000,0.207071,173200
1991-04-01,0.375000,0.375000,0.250000,0.375000,0.310607,66900
1991-05-01,0.312500,0.375000,0.125000,0.250000,0.207071,110900
1991-06-01,0.250000,0.375000,0.250000,0.375000,0.310607,105900
1991-07-01,0.375000,0.437500,0.218700,0.250000,0.207071,81100
1991-08-01,0.437500,0.437500,0.250000,0.250000,0.207071,13300
1991-09-01,0.375000,0.375000,0.187500,0.187500,0.155303,43500
1991-10-01,0.312500,0.312500,0.062500,0.062500,0.051768,75500
1991-11-01,0.156200,0.156200,0.062500,0.062500,0.051768,26600
1991-12-01,0.125000,0.125000,0.031200,0.031200,0.025842,267600
1992-01-01,0.093700,0.093700,0.031200,0.031200,0.025842,55700
1992-02-01,0.093700,0.093700,0.031200,0.031200,0.025842,17400
1992-03-01,0.218700,0.218700,0.093700,0.093700,0.077610,23700
1992-04-01,0.218700,0.218700,0.093700,0.093700,0.077610,10900
1992-05-01,0.218700,0.250000,0.093700,0.125000,0.103536,40900
1992-06-01,0.750000,1.500000,0.375000,0.750000,0.621214,356400
1992-07-01,0.750000,1.125000,0.500000,0.750000,0.621214,289700
1992-08-01,0.750000,1.187500,0.687500,1.000000,0.828285,384900
1992-09-01,1.031200,2.000000,0.937500,2.000000,1.656571,483100
1992-10-01,1.625000,2.000000,1.125000,1.937500,1.604803,284200
1992-11-01,1.875000,2.000000,1.437500,1.562500,1.294196,316000
1992-12-01,1.750000,3.250000,1.562500,3.125000,2.588391,997800
1993-01-01,3.000000,3.375000,2.750000,3.250000,2.691928,436800
1993-02-01,3.250000,4.125000,2.750000,3.500000,2.898998,840600
1993-03-01,3.875000,4.500000,3.625000,4.000000,3.313141,447400
1993-04-01,4.125000,4.625000,3.625000,4.625000,3.830817,492100
1993-05-01,4.625000,4.750000,4.125000,4.500000,3.727283,250500
1993-06-01,4.375000,4.375000,3.750000,4.125000,3.416676,201700
1993-07-01,4.125000,4.750000,3.875000,4.375000,3.623748,187000
1993-08-01,4.625000,4.625000,4.125000,4.375000,3.623748,215400
1993-09-01,4.125000,4.375000,3.625000,4.375000,3.623748,83600
1993-10-01,4.000000,4.375000,3.625000,4.125000,3.416676,103300
1993-11-01,4.000000,4.500000,3.875000,4.250000,3.520212,123200
1993-12-01,4.000000,9.750000,3.750000,8.562500,7.092190,1009600
1994-01-01,8.500000,9.500000,7.125000,8.750000,7.247495,1053000
1994-02-01,8.875000,9.125000,7.875000,9.125000,7.558101,373500
1994-03-01,9.000000,9.125000,8.125000,8.375000,6.936889,277100
1994-04-01,8.250000,9.125000,7.625000,8.375000,6.936889,408900
1994-05-01,8.250000,8.750000,7.750000,8.750000,7.247495,174800
1994-06-01,8.375000,8.875000,7.750000,8.125000,6.729816,409400
1994-07-01,8.125000,8.125000,7.250000,7.750000,6.419211,127200
1994-08-01,7.750000,8.750000,7.625000,7.625000,6.315675,126000
1994-09-01,7.875000,9.125000,7.125000,9.125000,7.558101,335200
1994-10-01,8.875000,9.250000,8.375000,8.625000,7.143958,132000
1994-11-01,8.375000,8.625000,7.875000,7.875000,6.522745,142500
1994-12-01,7.875000,8.125000,7.875000,8.125000,6.729816,106900
1995-01-01,8.000000,8.000000,5.625000,5.750000,4.762640,272400
1995-02-01,6.000000,7.750000,5.750000,7.750000,6.419211,140400
1995-03-01,7.375000,8.125000,7.375000,8.125000,6.729816,84800
1995-04-01,7.750000,8.000000,7.250000,7.250000,6.005068,77900
1995-05-01,7.250000,7.625000,6.750000,7.500000,6.212138,133600
1995-06-01,7.250000,8.500000,6.500000,8.125000,6.729816,379800
1995-07-01,8.000000,8.500000,7.750000,8.250000,6.833352,150700
1995-08-01,8.375000,9.500000,8.125000,8.500000,7.040425,309600
1995-09-01,8.500000,9.000000,8.125000,8.500000,7.040425,143700
1995-10-01,8.250000,8.625000,8.000000,8.000000,6.626282,101900
1995-11-01,8.000000,8.250000,7.375000,7.875000,6.522745,66700
1995-12-01,7.500000,8.500000,7.500000,7.875000,6.522745,132000
1996-01-01,7.875000,9.625000,7.875000,9.375000,7.765171,474000
1996-02-01,9.625000,11.750000,9.000000,10.375000,8.593460,671000
1996-03-01,10.375000,11.000000,10.125000,10.875000,9.007598,319900
1996-04-01,10.750000,11.500000,10.250000,10.437500,8.645225,447000
1996-05-01,10.625000,14.375000,10.625000,14.250000,11.803066,350700
1996-06-01,14.250000,15.875000,12.250000,13.000000,10.767711,744500
1996-07-01,13.000000,13.500000,9.875000,10.750000,8.904065,391600
1996-08-01,10.750000,14.000000,10.625000,13.500000,11.181848,224100
1996-09-01,13.625000,14.500000,12.875000,13.750000,11.388917,188900
1996-10-01,13.750000,14.375000,12.000000,12.750000,10.560636,445300
1996-11-01,12.750000,13.375000,12.500000,12.875000,10.664172,96200
1996-12-01,13.375000,14.250000,12.875000,13.375000,11.078315,194600
1997-01-01,13.375000,13.875000,10.500000,11.500000,9.525281,536800
1997-02-01,11.375000,12.625000,10.750000,12.000000,9.939419,190900
1997-03-01,12.125000,12.250000,10.000000,10.000000,8.282854,171100
1997-04-01,10.000000,10.750000,8.750000,8.750000,7.247495,303900
1997-05-01,9.125000,9.750000,8.250000,9.000000,7.454566,466600
1997-06-01,9.000000,10.812500,8.250000,8.500000,7.040425,746200
1997-07-01,8.500000,9.375000,7.375000,7.750000,6.419211,153500
1997-08-01,8.000000,8.500000,7.125000,7.500000,6.212138,227000
1997-09-01,7.500000,8.500000,7.500000,8.500000,7.040425,461600
1997-10-01,9.000000,9.250000,6.375000,6.750000,5.590924,419200
1997-11-01,6.750000,7.250000,5.750000,5.750000,4.762640,337500
1997-12-01,6.000000,6.000000,4.000000,4.750000,3.934355,1117400
1998-01-01,4.375000,6.000000,4.250000,5.437500,4.503799,328400
1998-02-01,5.250000,5.625000,4.875000,5.250000,4.348499,247500
1998-03-01,5.250000,6.000000,5.000000,5.656200,4.684945,325600
1998-04-01,5.500000,7.125000,5.375000,6.500000,5.383855,1356100
1998-05-01,6.500000,6.750000,5.125000,5.375000,4.452033,233900
1998-06-01,5.375000,5.875000,4.500000,5.000000,4.141427,499100
1998-07-01,5.000000,5.125000,3.750000,3.750000,3.106069,287300
1998-08-01,3.750000,4.250000,3.500000,3.500000,2.898998,222700
1998-09-01,3.500000,4.500000,3.375000,4.375000,3.623748,438600
1998-10-01,4.375000,5.125000,4.125000,4.500000,3.727283,1547200
1998-11-01,4.500000,5.000000,4.250000,4.250000,3.520212,380700
1998-12-01,4.250000,4.312500,3.062500,3.625000,3.002534,637500
