Date,Open,High,Low,Close,Adj Close,Volume
2010-04-01,44.400002,47.549999,43.740002,45.599998,42.717861,1263400
2010-05-01,46.049999,48.330002,38.700001,43.049999,40.329037,1783700
2010-06-01,42.209999,48.270000,41.040001,43.650002,40.891121,728700
2010-07-01,43.650002,45.630001,41.400002,43.560001,40.806805,486400
2010-08-01,44.790001,48.660000,43.740002,47.910000,44.881866,980600
2010-09-01,49.230000,56.970001,48.360001,55.919998,52.385590,2075800
2010-10-01,56.730000,61.500000,55.290001,60.869999,57.022732,2625700
2010-11-01,61.770000,75.330002,60.810001,72.269997,67.702187,4854500
2010-12-01,74.370003,83.339996,73.500000,81.389999,76.245773,4370900
2011-01-01,82.919998,83.790001,62.220001,66.660004,63.023403,5818600
2011-02-01,68.070000,80.669998,67.410004,80.519997,76.127274,4775500
2011-03-01,82.349998,88.019997,71.489998,84.540001,79.927963,7497300
2011-04-01,83.519997,94.019997,82.290001,85.230003,80.580330,7744900
2011-05-01,81.629997,83.639999,67.889999,77.190002,72.978943,7656700
2011-06-01,76.680000,77.190002,66.209999,71.040001,67.164444,2770700
2011-07-01,69.930000,84.599998,68.849998,78.480003,74.198570,3352900
2011-08-01,78.660004,85.470001,67.500000,83.820000,79.247238,4230600
2011-09-01,83.459999,87.150002,62.070000,62.459999,59.052528,3411100
2011-10-01,63.270000,75.360001,57.150002,71.699997,67.788437,2147100
2011-11-01,67.889999,77.070000,62.220001,69.629997,65.831375,1940500
2011-12-01,69.720001,71.250000,59.430000,63.360001,59.903427,1656200
2012-01-01,64.919998,75.269997,64.830002,73.589996,69.691322,1297700
2012-02-01,74.610001,79.860001,70.440002,75.269997,71.282310,1455900
2012-03-01,75.570000,76.800003,64.830002,66.690002,63.156876,981600
2012-04-01,66.959999,69.300003,60.330002,64.230003,60.827198,2019900
2012-05-01,64.650002,65.370003,49.619999,53.160000,50.343670,2104400
2012-06-01,53.220001,61.380001,52.650002,55.830002,52.872215,1458700
2012-07-01,55.380001,58.590000,50.580002,54.810001,51.906258,1309300
2012-08-01,53.759998,64.739998,53.340000,64.320000,60.912426,1605300
2012-09-01,65.160004,76.769997,64.470001,74.699997,70.742523,2529100
2012-10-01,75.449997,77.339996,71.430000,75.839996,71.822113,2550100
2012-11-01,76.110001,76.199997,64.830002,68.669998,65.031975,2115600
2012-12-01,69.000000,71.099998,65.910004,67.949997,64.350121,1283200
2013-01-01,70.589996,70.739998,60.990002,62.040001,59.290291,1395400
2013-02-01,62.669998,63.779999,55.049999,55.470001,53.011486,811200
2013-03-01,55.380001,56.099998,52.259998,54.450001,52.036694,753600
2013-04-01,54.450001,54.450001,39.900002,45.060001,43.062870,1996600
2013-05-01,44.009998,45.660000,38.220001,43.020000,41.113293,1370300
2013-06-01,43.560001,44.310001,31.620001,35.160000,33.601654,1525100
2013-07-01,35.549999,42.570000,33.720001,39.689999,37.930874,1230800
2013-08-01,40.080002,50.639999,36.000000,45.990002,43.951653,2383700
2013-09-01,47.040001,47.730000,39.150002,39.599998,37.844868,1568800
2013-10-01,38.520000,41.820000,35.880001,38.730000,37.013428,1140200
2013-11-01,38.250000,38.400002,33.270000,34.950001,33.400959,983900
2013-12-01,34.080002,34.470001,31.379999,33.599998,32.110794,1208400
2014-01-01,34.380001,38.759998,33.150002,36.119999,34.755058,1542300
2014-02-01,36.270000,45.840000,35.400002,41.910000,40.326260,2621700
2014-03-01,42.959999,44.580002,37.169998,38.369999,36.920029,2377200
2014-04-01,38.610001,40.049999,36.209999,37.560001,36.140640,1107200
2014-05-01,37.259998,38.970001,33.599998,34.169998,32.878742,1281600
2014-06-01,34.110001,43.020000,33.480000,42.540001,40.932449,1584300
2014-07-01,42.660000,44.910000,40.889999,41.910000,40.326260,1844000
2014-08-01,42.389999,44.160000,39.840000,41.279999,39.720062,1267100
2014-09-01,40.380001,40.560001,31.709999,31.920000,30.713772,1769000
2014-10-01,31.980000,32.490002,25.500000,26.040001,25.055971,2799100
2014-11-01,26.309999,31.020000,24.629999,27.420000,26.383821,2557800
2014-12-01,28.320000,29.340000,24.660000,27.780001,26.730217,2940900
2015-01-01,27.390028,33.570034,27.030027,30.630030,29.495438,6277000
2015-02-01,30.240030,31.350031,27.810028,29.160028,28.079887,3222700
2015-03-01,29.310030,29.310030,23.219999,25.230024,24.295458,4111800
2015-04-01,25.470026,27.900028,25.440001,26.640026,25.653231,2907400
2015-05-01,26.340027,29.580030,26.040026,27.000027,25.999895,4918800
2015-06-01,27.240000,28.290028,25.590025,25.650026,24.699903,3436000
2015-07-01,25.560026,25.890026,19.020020,20.100019,19.355476,6558500
2015-08-01,20.040020,22.830023,18.540018,20.370020,19.615479,5130100
2015-09-01,20.580000,21.180021,18.120018,19.380020,18.662148,3690800
2015-10-01,19.530001,24.000000,18.959999,20.760000,19.991013,2363400
2015-11-01,20.459999,21.390022,18.330019,19.360001,18.642870,1831100
2015-12-01,19.510000,20.379999,17.860001,18.510000,17.824356,2000100
2016-01-01,18.900000,19.299999,14.940000,18.010000,17.407797,1234300
2016-02-01,18.110001,23.570000,17.850000,23.280001,22.501583,2175200
2016-03-01,23.320000,28.379999,22.000000,26.510000,25.623581,2732100
2016-04-01,26.049999,36.849998,25.459999,36.680000,35.453526,4028600
2016-05-01,37.150002,37.990002,32.200001,33.180000,32.070553,3887000
2016-06-01,33.430000,43.369999,32.639999,43.320000,41.871502,3826100
2016-07-01,45.000000,51.250000,44.220001,50.869999,49.169048,6771100
2016-08-01,51.610001,54.340000,42.820000,43.119999,41.678188,6669100
2016-09-01,42.900002,49.419998,42.480000,44.480000,42.992714,4153100
2016-10-01,44.509998,45.049999,38.009998,40.660000,39.300442,4904600
2016-11-01,41.709999,43.580002,33.480000,34.669998,33.510731,4394000
2016-12-01,34.330002,36.799999,30.500000,32.110001,31.036333,4004600
2017-01-01,32.549999,38.990002,32.500000,38.180000,38.180000,5203800
2017-02-01,37.810001,41.680000,35.799999,36.380001,36.380001,4009900
2017-03-01,36.029999,37.090000,32.369999,36.020000,36.020000,4238600
2017-04-01,35.930000,38.549999,33.869999,34.900002,34.900002,1950200
2017-05-01,34.599998,37.299999,32.209999,35.029999,35.029999,3272300
2017-06-01,34.480000,36.660000,33.000000,33.950001,33.950001,2143400
2017-07-01,33.529999,34.889999,31.320000,34.599998,34.599998,2107900
2017-08-01,34.400002,35.750000,32.380001,35.029999,35.029999,2931400
2017-09-01,35.090000,36.360001,34.310001,34.340000,34.340000,1432400
