Date,Open,High,Low,Close,Adj Close,Volume
1983-12-01,107.059998,113.019997,106.760002,111.820000,111.820000,19950000
1984-01-01,111.699997,112.430000,103.599998,111.900002,111.900002,40800000
1984-02-01,112.349998,131.229996,109.389999,127.699997,127.699997,41230000
1984-03-01,127.680000,135.880005,123.250000,127.959999,127.959999,38750000
1984-04-01,127.820000,127.820000,115.309998,116.629997,116.629997,36330000
1984-05-01,116.559998,118.370003,108.000000,112.139999,112.139999,38980000
1984-06-01,112.820000,118.930000,100.669998,102.080002,102.080002,33050000
1984-07-01,102.040001,102.040001,78.989998,81.839996,81.839996,32210000
1984-08-01,81.599998,96.519997,81.550003,93.510002,93.510002,42580000
1984-09-01,93.459999,99.500000,89.190002,97.599998,97.599998,29300000
1984-10-01,97.389999,99.709999,90.239998,90.360001,90.360001,33760000
1984-11-01,90.360001,99.339996,85.779999,87.239998,87.239998,32510000
1984-12-01,87.120003,88.410004,71.809998,76.059998,76.059998,34820000
1985-01-01,75.940002,83.860001,70.440002,83.669998,83.669998,48170000
1985-02-01,83.430000,85.169998,71.639999,78.199997,78.199997,43430000
1985-03-01,78.169998,93.910004,76.690002,93.389999,93.389999,35780000
1985-04-01,93.180000,95.510002,86.320000,86.489998,86.489998,37700000
1985-05-01,86.349998,91.470001,84.110001,85.639999,85.639999,39850000
1985-06-01,85.639999,86.900002,81.440002,83.580002,83.580002,34150000
1985-07-01,83.029999,94.750000,80.029999,92.750000,92.750000,39220000
1985-08-01,92.750000,97.040001,88.239998,91.349998,91.349998,33440000
1985-09-01,91.349998,91.349998,81.989998,83.699997,83.699997,27330000
1985-10-01,83.690002,89.970001,81.330002,81.980003,81.980003,41090000
1985-11-01,81.980003,90.239998,79.199997,84.699997,84.699997,43510000
1985-12-01,84.699997,85.489998,79.669998,81.470001,81.470001,49340000
1986-01-01,81.470001,97.610001,80.279999,89.349998,89.349998,54300000
1986-02-01,89.349998,89.349998,79.430000,80.040001,80.040001,52890000
1986-03-01,80.040001,82.910004,73.779999,74.169998,74.169998,63990000
1986-04-01,74.169998,74.959999,67.489998,67.739998,67.739998,58340000
1986-05-01,67.739998,67.849998,63.349998,67.849998,67.849998,55300000
1986-06-01,67.849998,70.449997,61.639999,62.430000,62.430000,47920000
1986-07-01,62.430000,64.489998,58.720001,64.410004,64.410004,55950000
1986-08-01,64.510002,76.389999,64.320000,72.650002,72.650002,51290000
1986-09-01,73.309998,87.089996,73.309998,77.540001,77.540001,52700000
1986-10-01,77.839996,84.589996,76.099998,78.339996,78.339996,53850000
1986-11-01,78.370003,81.750000,74.070000,79.529999,79.529999,53830000
